starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Novagis Gaming;Haven;Decider;hiroronn;snoo;SepiaMars;kaguya;YAYA;7:13;False;39:26;Friday, February 26th, 8:00 AM CET;Champions Tour Japan Stage 1: Challengers 2;url.net;
Defense;W;THE SHABLES;Haven;Decider;RIA;hiroronn;kaguya;YAYA;MrTenzouEz;13:2;False;24:22;Saturday, April 17th, 12:50 PM CEST;Champions Tour Japan Stage 2: Challengers 2;url.net;
Defense;W;Storks Phalanx;Bind;Storks Phalanx;hiroronn;RIA;MrTenzouEz;kaguya;Shinryaku;13:5;False;39:46;Sunday, July 11th, 5:55 AM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=2h52m47s;
Attack;L;Storks Phalanx;Breeze;Decider;hiroronn;RIA;MrTenzouEz;kaguya;Shinryaku;4:13;False;31:22;Sunday, July 11th, 5:55 AM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=2h52m47s;
Attack;L;Crazy Raccoon;Split;Gaming Team SELECTOR;hiroronn;RIA;kaguya;MrTenzouEz;Shinryaku;4:13;False;35:07;Sunday, July 11th, 10:25 AM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=7h10m9s;
Defense;L;Crazy Raccoon;Ascent;Crazy Raccoon;hiroronn;RIA;kaguya;MrTenzouEz;Shinryaku;11:13;False;50:23;Sunday, July 11th, 10:25 AM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=7h10m9s;
Attack;W;BlackBird Ignis;Bind;Gaming Team SELECTOR;RIA;MrTenzouEz;hiroronn;Shinryaku;kaguya;15:13;True;1:02:45;Sunday, July 11th, 12:40 PM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=9h18m55s;
Defense;L;BlackBird Ignis;Haven;Decider;RIA;MrTenzouEz;hiroronn;Shinryaku;kaguya;11:13;False;49:24;Sunday, July 11th, 12:40 PM CEST;Champions Tour Japan Stage 3: Challengers 1;https://www.twitch.tv/videos/1083045454?t=9h18m55s;
Attack;L;FENNEL;Ascent;Gaming Team SELECTOR;hiroronn;MrTenzouEz;Shinryaku;RIA;kaguya;8:13;False;37:45;Thursday, July 22nd, 6:10 AM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=2h44m30s;
Defense;W;FENNEL;Bind;Decider;hiroronn;MrTenzouEz;Shinryaku;RIA;kaguya;13:7;False;36:01;Thursday, July 22nd, 6:10 AM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=2h44m30s;
Defense;L;Feeling;Haven;Feeling;RIA;kaguya;MrTenzouEz;Shinryaku;hiroronn;10:13;False;46:58;Thursday, July 22nd, 10:00 AM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=06h45m42s;
Attack;L;Feeling;Split;Gaming Team SELECTOR;RIA;kaguya;MrTenzouEz;Shinryaku;hiroronn;1:13;False;26:55;Thursday, July 22nd, 10:00 AM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=06h45m42s;
Defense;L;Icicle Conflict;Bind;Icicle Conflict;RIA;hiroronn;kaguya;MrTenzouEz;Shinryaku;11:13;False;48:33;Thursday, July 22nd, 12:05 PM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=08h44m15s;
Attack;W;Icicle Conflict;Icebox;Decider;RIA;hiroronn;kaguya;MrTenzouEz;Shinryaku;13:2;False;28:41;Thursday, July 22nd, 12:05 PM CEST;Champions Tour Japan Stage 3: Challengers 2;https://www.twitch.tv/videos/1094160485?t=08h44m15s;
