starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Gehenna Sweepers;Split;GochuGaru;NakJi;godko;Chibab;climax;Slash;13:11;False;54:59;Sunday, July 4th, 10:45 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1076192525?t=3h20m33s;
Defense;W;Gehenna Sweepers;Haven;GochuGaru;NakJi;godko;Chibab;climax;Slash;13:7;False;41:49;Sunday, July 4th, 10:45 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1076192525?t=3h20m33s;
Defense;W;RYU Gaming;Split;RYU Gaming;climax;Chibab;Slash;NakJi;godko;13:10;False;49:00;Sunday, July 11th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1083218970?t=3h20m54s;
Attack;W;RYU Gaming;Bind;GochuGaru;climax;Chibab;Slash;NakJi;godko;13:7;False;40:07;Sunday, July 11th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1083218970?t=3h20m54s;
Defense;L;Vision Strikers;Haven;Vision Strikers;climax;Slash;godko;Chibab;NakJi;7:13;False;41:03;Friday, July 16th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1088260981?t=03h49m13s;
Attack;L;Vision Strikers;Ascent;GochuGaru;climax;Slash;godko;Chibab;NakJi;9:13;False;48:11;Friday, July 16th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1088260981?t=03h49m13s;
Attack;W;Alpha Six Gaming;Bind;GochuGaru;climax;Slash;godko;Chibab;NakJi;13:10;False;46:58;Friday, July 23rd, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1095377857?t=3h15m1s;
Defense;L;Alpha Six Gaming;Breeze;Alpha Six Gaming;climax;Slash;godko;Chibab;NakJi;11:13;False;50:14;Friday, July 23rd, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1095377857?t=3h15m1s;
Attack;L;Alpha Six Gaming;Ascent;Alpha Six Gaming;climax;Slash;godko;Chibab;NakJi;12:14;True;59:12;Friday, July 23rd, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1095377857?t=3h15m1s;
Attack;L;DFR;Ascent;GochuGaru;climax;Slash;godko;Chibab;NakJi;10:13;False;46:23;Friday, July 30th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1102548429?t=4h6m52s;
Defense;W;DFR;Icebox;DFR;climax;Slash;godko;Chibab;NakJi;13:4;False;36:34;Friday, July 30th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1102548429?t=4h6m52s;
Defense;W;DFR;Split;GochuGaru;climax;Slash;godko;Chibab;NakJi;13:7;False;48:25;Friday, July 30th, 11:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1102548429?t=4h6m52s;
Defense;L;Alpha Six Gaming;Bind;GochuGaru;Slash;NakJi;Chibab;godko;climax;3:13;False;35:10;Sunday, August 1st, 11:45 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1104596916?t=4h21m39s;
Defense;W;Alpha Six Gaming;Breeze;Alpha Six Gaming;Slash;NakJi;Chibab;godko;climax;13:7;False;43:50;Sunday, August 1st, 11:45 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1104596916?t=4h21m39s;
Defense;W;Alpha Six Gaming;Split;GochuGaru;Slash;NakJi;Chibab;godko;climax;13:1;False;33:18;Sunday, August 1st, 11:45 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1104596916?t=4h21m39s;
Defense;L;F4Q;Split;F4Q;godko;Slash;NakJi;Chibab;climax;4:13;False;39:11;Saturday, August 7th, 10:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1110821949?t=0h44m33s;
Attack;L;F4Q;Bind;GochuGaru;godko;Slash;NakJi;Chibab;climax;4:13;False;31:18;Saturday, August 7th, 10:00 AM CEST;Champions Tour Korea Stage 3: Challengers;https://www.twitch.tv/videos/1110821949?t=0h44m33s;
