starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;Team Tamilas;Bind;Team Tamilas;KnightRider;Scargod;WhiteHorse;sh1vy;sMx;11:13;False;1:00:35;Sunday, November 1st, 1:30 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=407IYaWWnLs;
Defense;W;Team Tamilas;Haven;Team Tamilas;KnightRider;Scargod;WhiteHorse;sh1vy;sMx;13:8;False;41:54;Sunday, November 1st, 1:30 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=407IYaWWnLs;
Defense;L;Team Tamilas;Split;Team Tamilas;KnightRider;Scargod;WhiteHorse;sh1vy;sMx;7:13;False;39:46;Sunday, November 1st, 1:30 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=407IYaWWnLs;
Attack;L;Team Tamilas;Ascent;Team Tamilas;KnightRider;Scargod;WhiteHorse;sh1vy;sMx;8:13;False;43:36;Sunday, November 1st, 1:30 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=407IYaWWnLs;
Defense;W;xCeed;Bind;GodLike Esports;WhiteHorse;KnightRider;sMx;Scargod;sh1vy;13:10;False;1:00:09;Saturday, November 7th, 3:30 PM CET;Valorant Warfare;url.net;
Attack;W;xCeed;Haven;GodLike Esports;WhiteHorse;KnightRider;sMx;Scargod;sh1vy;13:2;False;31:01;Saturday, November 7th, 3:30 PM CET;Valorant Warfare;url.net;
Attack;L;Noble India;Haven;GodLike Esports;sMx;Scargod;sh1vy;WhiteHorse;KnightRider;4:13;False;33:57;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Defense;L;Noble India;Ascent;GodLike Esports;sMx;Scargod;sh1vy;WhiteHorse;KnightRider;3:13;False;33:49;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Attack;L;Noble India;Split;GodLike Esports;sMx;Scargod;sh1vy;WhiteHorse;KnightRider;10:13;False;45:15;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Attack;L;Ah yeah gaming;Split;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;KnightRider;sh1vy;9:13;False;40:00;Wednesday, December 16th, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Defense;L;Ah yeah gaming;Ascent;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;KnightRider;sh1vy;13:15;True;52:48;Wednesday, December 16th, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Attack;W;ChillinWithFriends;Haven;ChillinWithFriends;DEATHMAKER;sh1vy;KnightRider;WhiteHorse;Scargod;14:12;True;52:18;Monday, December 21st, 3:30 PM CET;The Esports Club Challenger Series 2020;url.net;
Defense;W;ChillinWithFriends;Ascent;ChillinWithFriends;DEATHMAKER;sh1vy;KnightRider;WhiteHorse;Scargod;13:5;False;30:44;Monday, December 21st, 3:30 PM CET;The Esports Club Challenger Series 2020;url.net;
Attack;W;Ah yeah gaming;Bind;GodLike Esports;DEATHMAKER;KnightRider;WhiteHorse;sh1vy;Scargod;13:10;False;46:37;Tuesday, December 22nd, 3:30 PM CET;The Esports Club Challenger Series 2020;url.net;
Attack;W;Ah yeah gaming;Haven;GodLike Esports;DEATHMAKER;KnightRider;WhiteHorse;sh1vy;Scargod;13:6;False;35:52;Tuesday, December 22nd, 3:30 PM CET;The Esports Club Challenger Series 2020;url.net;
Defense;W;XTZ Esports;Ascent;GodLike Esports;DEATHMAKER;KnightRider;WhiteHorse;Scargod;sh1vy;13:8;False;40:44;Wednesday, December 23rd, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Attack;W;XTZ Esports;Split;GodLike Esports;DEATHMAKER;KnightRider;WhiteHorse;Scargod;sh1vy;16:14;True;1:09:23;Wednesday, December 23rd, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Attack;W;Villainous;Haven;Villainous;DEATHMAKER;WhiteHorse;Flexx;sh1vy;Scargod;13:5;False;36:05;Monday, January 11th, 3:30 PM CET;The Esports Club Invitational;url.net;
Defense;L;Villainous;Ascent;Villainous;DEATHMAKER;WhiteHorse;Flexx;sh1vy;Scargod;10:13;False;47:07;Monday, January 11th, 3:30 PM CET;The Esports Club Invitational;url.net;
Defense;W;Villainous;Bind;Villainous;DEATHMAKER;WhiteHorse;Flexx;sh1vy;Scargod;13:8;False;42:48;Monday, January 11th, 3:30 PM CET;The Esports Club Invitational;url.net;
Defense;L;XTZ Esports;Ascent;GodLike Esports;WhiteHorse;DEATHMAKER;Scargod;Flexx;sh1vy;6:13;False;38:38;Thursday, January 14th, 1:30 PM CET;The Esports Club Invitational;url.net;
Defense;W;XTZ Esports;Bind;GodLike Esports;WhiteHorse;DEATHMAKER;Scargod;Flexx;sh1vy;13:7;False;47:05;Thursday, January 14th, 1:30 PM CET;The Esports Club Invitational;url.net;
Attack;W;XTZ Esports;Split;GodLike Esports;WhiteHorse;DEATHMAKER;Scargod;Flexx;sh1vy;13:10;False;46:41;Thursday, January 14th, 1:30 PM CET;The Esports Club Invitational;url.net;
Defense;L;Global Esports;Icebox;GodLike Esports;Flexx;DEATHMAKER;WhiteHorse;Scargod;sh1vy;9:13;False;47:04;Saturday, January 23rd, 2:30 PM CET;The Esports Club Invitational;https://www.youtube.com/watch?v=y9MzLA9HKVE;
Attack;W;Global Esports;Haven;GodLike Esports;Flexx;DEATHMAKER;WhiteHorse;Scargod;sh1vy;13:6;False;37:40;Saturday, January 23rd, 2:30 PM CET;The Esports Club Invitational;https://www.youtube.com/watch?v=y9MzLA9HKVE;
Attack;L;Global Esports;Bind;GodLike Esports;Flexx;DEATHMAKER;WhiteHorse;Scargod;sh1vy;8:13;False;48:03;Saturday, January 23rd, 2:30 PM CET;The Esports Club Invitational;https://www.youtube.com/watch?v=y9MzLA9HKVE;
Defense;W;Paratroops;Haven;Paratroops;DEATHMAKER;Flexx;WhiteHorse;Scargod;sh1vy;13:11;False;41:51;Sunday, January 24th, 8:30 AM CET;The Esports Club Invitational;https://youtu.be/ylXWQoEJB5M?t=627;
Attack;W;Paratroops;Bind;Paratroops;DEATHMAKER;Flexx;WhiteHorse;Scargod;sh1vy;18:16;True;1:05:37;Sunday, January 24th, 8:30 AM CET;The Esports Club Invitational;https://youtu.be/ylXWQoEJB5M?t=627;
Attack;L;Global Esports;Ascent;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;sh1vy;Flexx;12:14;True;54:14;Sunday, January 24th, 2:30 PM CET;The Esports Club Invitational;https://youtu.be/u4q_w7Dia3k?t=1200;
Defense;L;Global Esports;Haven;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;sh1vy;Flexx;9:13;False;45:42;Sunday, January 24th, 2:30 PM CET;The Esports Club Invitational;https://youtu.be/u4q_w7Dia3k?t=1200;
Attack;W;Global Esports;Icebox;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;sh1vy;Flexx;13:10;False;47:06;Sunday, January 24th, 2:30 PM CET;The Esports Club Invitational;https://youtu.be/u4q_w7Dia3k?t=1200;
Attack;L;Global Esports;Bind;GodLike Esports;DEATHMAKER;Scargod;WhiteHorse;sh1vy;Flexx;8:13;False;55:49;Sunday, January 24th, 2:30 PM CET;The Esports Club Invitational;https://youtu.be/u4q_w7Dia3k?t=1200;
Defense;W;MercenarieZ;Ascent;Decider;DEATHMAKER;WhiteHorse;Antidote;haiVaan;Rexy;13:1;False;22:01;Thursday, June 3rd, 3:40 PM CEST;Rooter Rise of Legends;https://youtu.be/gVGgIUc9-Bw?t=4280;
