starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Cloud9;Ascent;Green Beans;EccentriK;Tristiieee;Core;Unholykid;Aloka;7:13;False;35:36;Monday, August 9th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;L;Cloud9;Haven;Green Beans;EccentriK;Tristiieee;Core;Unholykid;Aloka;3:13;False;24:31;Monday, August 9th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Defense;W;Pho Real;Icebox;Green Beans;Tristiieee;EccentriK;Core;Unholykid;Aloka;13:0;False;23:46;Tuesday, August 10th, 11:50 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;L;Pho Real;Bind;Green Beans;Tristiieee;EccentriK;Core;Unholykid;Aloka;11:13;False;50:53;Tuesday, August 10th, 11:50 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;W;Pho Real;Haven;Green Beans;Tristiieee;EccentriK;Core;Unholykid;Aloka;13:2;False;26:29;Tuesday, August 10th, 11:50 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;L;Complexity;Bind;Green Beans;Tristiieee;Unholykid;EccentriK;Core;Aloka;3:13;False;29:53;Wednesday, August 18th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;L;Complexity;Ascent;Green Beans;Tristiieee;Unholykid;EccentriK;Core;Aloka;3:13;False;28:23;Wednesday, August 18th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;Bait Academy;Ascent;Bait Academy;Core;Tristiieee;Unholykid;EccentriK;Aloka;14:12;True;49:14;Wednesday, August 18th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;L;Bait Academy;Haven;Bait Academy;Core;Tristiieee;Unholykid;EccentriK;Aloka;9:13;False;42:09;Wednesday, August 18th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;L;Bait Academy;Split;Bait Academy;Core;Tristiieee;Unholykid;EccentriK;Aloka;9:13;False;43:53;Wednesday, August 18th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
