starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;PARA LAZIM;Ascent;HaZe Clan;tecoNe;isa;Bazy;HsM;aeiden;13:11;False;48:27;Saturday, October 24th, 4:00 PM CEST;First Strike: Turkey;url.net;
Attack;L;PARA LAZIM;Haven;HaZe Clan;tecoNe;isa;Bazy;HsM;aeiden;10:13;False;52:02;Saturday, October 24th, 4:00 PM CEST;First Strike: Turkey;url.net;
Defense;W;PARA LAZIM;Bind;HaZe Clan;tecoNe;isa;Bazy;HsM;aeiden;17:15;True;1:03:34;Saturday, October 24th, 4:00 PM CEST;First Strike: Turkey;url.net;
Attack;W;Oxygen Esports;Ascent;HaZe Clan;aeiden;tecoNe;HsM;isa;Bazy;13:11;False;51:16;Monday, October 26th, 5:10 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/782414813?t=2h34m53s;
Attack;L;Oxygen Esports;Split;HaZe Clan;aeiden;tecoNe;HsM;isa;Bazy;2:13;False;26:30;Monday, October 26th, 5:10 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/782414813?t=2h34m53s;
Defense;L;Oxygen Esports;Bind;HaZe Clan;aeiden;tecoNe;HsM;isa;Bazy;4:13;False;32:07;Monday, October 26th, 5:10 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/782414813?t=2h34m53s;
Defense;L;Sangal Esports;Bind;Sangal Esports;tecoNe;HsM;Bazy;isa;aeiden;2:13;False;24:08;Tuesday, October 27th, 3:00 PM CET;First Strike: Turkey;url.net;
Attack;L;Sangal Esports;Ascent;Sangal Esports;tecoNe;HsM;Bazy;isa;aeiden;3:13;False;28:12;Tuesday, October 27th, 3:00 PM CET;First Strike: Turkey;url.net;
Defense;W;Digital Athletics;Ascent;Digital Athletics;tecoNe;Yato;Burzzy;isa;standoff;15:13;True;52:58;Saturday, November 21st, 2:00 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/810526001?t=3h15m38s;
Attack;W;Digital Athletics;Bind;Digital Athletics;tecoNe;Yato;Burzzy;isa;standoff;15:13;True;58:02;Saturday, November 21st, 2:00 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/810526001?t=3h15m38s;
Defense;L;5NOOBS;Ascent;HaZe Clan;tecoNe;Yato;standoff;Burzzy;isa;8:13;False;43:42;Sunday, November 22nd, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/811790723?t=0h20m42s;
Attack;L;5NOOBS;Bind;HaZe Clan;tecoNe;Yato;standoff;Burzzy;isa;8:13;False;42:22;Sunday, November 22nd, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/811790723?t=0h20m42s;
Defense;W;Galakticos;Bind;Galakticos;isa;tecoNe;standoff;Yato;Burzzy;13:7;False;37:17;Sunday, November 22nd, 1:15 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/811790723?t=2h41m28s;
Attack;W;Galakticos;Haven;Galakticos;isa;tecoNe;standoff;Yato;Burzzy;13:8;False;37:25;Sunday, November 22nd, 1:15 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/811790723?t=2h41m28s;
Defense;L;Oxygen Esports;Bind;Oxygen Esports;tecoNe;Yato;isa;standoff;Burzzy;11:13;False;50:36;Thursday, December 3rd, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/824067729?t=00h24m24s;
Attack;L;Oxygen Esports;Ascent;HaZe Clan;tecoNe;Yato;isa;standoff;Burzzy;10:13;False;1:04:33;Thursday, December 3rd, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/824067729?t=00h24m24s;
Attack;L;Mod-Z;Bind;Mod-Z;Yato;Burzzy;tecoNe;6:13;False;36:42;Friday, December 4th, 1:20 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/825192425?t=01h20m04s;
Defense;L;Mod-Z;Ascent;Mod-Z;Yato;Burzzy;tecoNe;standoff;isa;5:13;False;30:05;Friday, December 4th, 1:20 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/825192425?t=01h20m04s;
