starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Resurrection Sickness;TBD;Decider;mag0o;sterben;marqnue;Maiko;4ZR41L;13:6;False;-;Thursday, June 4th, 6:00 PM CEST;CLUTCH BATTLES LAIR.GG;url.net;
Attack;L;Team Turkey;Split;Decider;mag0o;sterben;marqnue;Maiko;4ZR41L;8:13;False;-;Thursday, June 4th, 7:00 PM CEST;CLUTCH BATTLES LAIR.GG;url.net;
Defense;L;Team Jbzz;Ascent;Team Jbzz;sterben;SasuKe;mini;mag0o;marqnue;9:13;False;-;Friday, July 3rd, 9:00 PM CEST;Trovo Challenge Europe;https://www.twitch.tv/videos/669051960?t=0h6m27s;
Defense;L;Team Jbzz;Bind;Team Jbzz;sterben;SasuKe;mini;mag0o;marqnue;6:13;False;-;Friday, July 3rd, 9:00 PM CEST;Trovo Challenge Europe;https://www.twitch.tv/videos/669051960?t=0h6m27s;
Defense;W;Headshot;Ascent;Decider;mag0o;SasuKe;mini;sterben;marqnue;13:2;False;-;Sunday, July 5th, 4:30 PM CEST;Vitality European Open;url.net;
Attack;L;Oxygen Esports;Ascent;Oxygen Esports;marqnue;SasuKe;MOJJ;sterben;mag0o;11:13;False;49:11;Saturday, September 26th, 6:00 PM CEST;AMD Ryzen 4000 Cup;https://www.twitch.tv/videos/752717595?t=0h10m27s;
Defense;W;Oxygen Esports;Bind;Oxygen Esports;marqnue;SasuKe;MOJJ;sterben;mag0o;13:10;False;42:36;Saturday, September 26th, 6:00 PM CEST;AMD Ryzen 4000 Cup;https://www.twitch.tv/videos/752717595?t=0h10m27s;
Defense;L;Oxygen Esports;Haven;Oxygen Esports;marqnue;SasuKe;MOJJ;sterben;mag0o;12:14;True;50:06;Saturday, September 26th, 6:00 PM CEST;AMD Ryzen 4000 Cup;https://www.twitch.tv/videos/752717595?t=0h10m27s;
Defense;L;Oxygen Esports;Bind;LOL;MOJJ;mag0o;sterben;marqnue;SasuKe;12:14;True;52:21;Sunday, September 27th, 6:30 PM CEST;Intel Gaming Fest 2020;https://www.twitch.tv/videos/753757589?t=0h20m46s;
Attack;W;Oxygen Esports;Split;LOL;MOJJ;mag0o;sterben;marqnue;SasuKe;13:7;False;39:00;Sunday, September 27th, 6:30 PM CEST;Intel Gaming Fest 2020;https://www.twitch.tv/videos/753757589?t=0h20m46s;
Attack;W;Oxygen Esports;Ascent;LOL;MOJJ;mag0o;sterben;marqnue;SasuKe;13:10;False;47:28;Sunday, September 27th, 6:30 PM CEST;Intel Gaming Fest 2020;https://www.twitch.tv/videos/753757589?t=0h20m46s;
Attack;W;Eloquence;Split;Decider;SasuKe;MOJJ;sterben;mag0o;marqnue;13:8;False;37:38;Saturday, October 3rd, 2:00 PM CEST;Valorant Contenders Cup;url.net;
Defense;W;Wave Esports;Bind;Decider;sterben;SasuKe;mag0o;MOJJ;marqnue;13:7;False;40:10;Saturday, October 3rd, 3:00 PM CEST;Valorant Contenders Cup;https://www.twitch.tv/videos/759300909?t=3h28m26s;
Defense;W;DPE;Split;Decider;SasuKe;sterben;MOJJ;mag0o;marqnue;13:3;False;26:24;Saturday, October 3rd, 4:40 PM CEST;Valorant Contenders Cup;url.net;
Defense;L;SUMN FC;Split;Decider;SasuKe;MOJJ;sterben;marqnue;mag0o;9:13;False;41:11;Saturday, October 3rd, 5:25 PM CEST;Valorant Contenders Cup;https://www.twitch.tv/videos/759300909?t=5h35m36s;
Defense;L;FunPlus Phoenix;Ascent;Decider;sterben;marqnue;MOJJ;mag0o;SasuKe;7:13;False;35:23;Saturday, October 3rd, 7:30 PM CEST;Valorant Contenders Cup;url.net;
