starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;All Born to Clutch;Haven;All Born to Clutch;W1nner;BerLIN;PAULTATO;cedrik;PPDBJ;13:2;False;29:59;Friday, February 26th, 11:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/928791073?t=4h33m18s;
Defense;W;All Born to Clutch;Ascent;All Born to Clutch;W1nner;BerLIN;PAULTATO;cedrik;PPDBJ;13:7;False;39:14;Friday, February 26th, 11:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/928791073?t=4h33m18s;
Attack;W;CBT Gaming;Ascent;Looking For Sponsor;BerLIN;cedrik;PAULTATO;W1nner;PPDBJ;13:6;False;40:31;Saturday, February 27th, 11:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/930198216?t=3h19m45s;
Defense;W;CBT Gaming;Split;CBT Gaming;BerLIN;cedrik;PAULTATO;W1nner;PPDBJ;13:9;False;47:24;Saturday, February 27th, 11:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/930198216?t=3h19m45s;
Defense;L;Anti Eco Eco Club;Icebox;Looking For Sponsor;PAULTATO;BerLIN;cedrik;PPDBJ;W1nner;3:13;False;31:14;Sunday, February 28th, 9:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/931540229?t=0h30m38s;
Attack;W;Anti Eco Eco Club;Haven;Looking For Sponsor;PAULTATO;BerLIN;cedrik;PPDBJ;W1nner;16:14;True;1:01:23;Sunday, February 28th, 9:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/931540229?t=0h30m38s;
Attack;L;Anti Eco Eco Club;Ascent;Looking For Sponsor;PAULTATO;BerLIN;cedrik;PPDBJ;W1nner;8:13;False;39:54;Sunday, February 28th, 9:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/931540229?t=0h30m38s;
Attack;L;Anti Eco Eco Club;Split;Looking For Sponsor;PAULTATO;BerLIN;cedrik;PPDBJ;W1nner;11:13;False;47:37;Sunday, February 28th, 9:00 AM CET;Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2;https://www.twitch.tv/videos/931540229?t=0h30m38s;
Attack;W;Griffin E-Sports;Ascent;Griffin E-Sports;W1nner;BerLIN;PPDBJ;cedrik;PAULTATO;13:5;False;35:54;Friday, March 12th, 1:00 PM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Defense;W;Griffin E-Sports;Split;Griffin E-Sports;W1nner;BerLIN;PPDBJ;cedrik;PAULTATO;13:6;False;38:51;Friday, March 12th, 1:00 PM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Attack;L;CBT Gaming;Haven;CBT Gaming;BerLIN;W1nner;PAULTATO;PPDBJ;cedrik;11:13;False;47:42;Saturday, March 13th, 11:15 AM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Defense;L;CBT Gaming;Bind;CBT Gaming;BerLIN;W1nner;PAULTATO;PPDBJ;cedrik;10:13;False;50:30;Saturday, March 13th, 11:15 AM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Defense;L;Five Ace Esports;Ascent;Looking For Sponsor;PAULTATO;BerLIN;W1nner;cedrik;PPDBJ;11:13;False;44:31;Saturday, March 13th, 1:45 PM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Attack;L;Five Ace Esports;Split;Looking For Sponsor;PAULTATO;BerLIN;W1nner;cedrik;PPDBJ;9:13;False;46:07;Saturday, March 13th, 1:45 PM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Defense;W;Five Ace Esports;Icebox;Looking For Sponsor;PAULTATO;BerLIN;W1nner;PPDBJ;cedrik;13:7;False;44:19;Sunday, March 14th, 11:30 AM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Attack;W;Five Ace Esports;Haven;Looking For Sponsor;PAULTATO;BerLIN;W1nner;PPDBJ;cedrik;13:4;False;29:14;Sunday, March 14th, 11:30 AM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
Defense;W;Five Ace Esports;Ascent;Looking For Sponsor;PAULTATO;BerLIN;W1nner;PPDBJ;cedrik;13:5;False;35:49;Sunday, March 14th, 11:30 AM CET;Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3;url.net;
