starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;CBT Gaming;Haven;Decider;Kak;CMY;ChenGuang;KonG02;Try;10:13;False;47:07;Thursday, June 10th, 8:10 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;L;Tales of Eastern;Icebox;Decider;CMY;KonG02;Try;ChenGuang;Kak;10:13;False;39:32;Thursday, June 10th, 9:30 AM CEST;Huya FMWH PangHu Cup: Summer;https://www.twitch.tv/videos/1051577850?t=2h41m22s;
Defense;L;Shenzhen NTER;Split;Decider;Try;KonG02;CMY;Kak;ChenGuang;5:13;False;36:22;Thursday, June 10th, 10:30 AM CEST;Huya FMWH PangHu Cup: Summer;https://www.twitch.tv/videos/1051577850?t=3h51m22s;
Defense;L;EDward Gaming;Ascent;Decider;CMY;Kak;KonG02;Try;ChenGuang;8:13;False;45:47;Thursday, June 10th, 11:35 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;W;DingFeng Gaming;Ascent;DingFeng Gaming;ChenGuang;CMY;Kak;Try;KonG02;13:9;False;51:30;Thursday, June 24th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;url.net;
Defense;W;DingFeng Gaming;Breeze;DingFeng Gaming;ChenGuang;CMY;Kak;Try;KonG02;13:6;False;55:43;Thursday, June 24th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;url.net;
Defense;L;Remember Me;Split;Remember Me;ChenGuang;CMY;Try;Kak;KonG02;11:13;False;49:24;Saturday, June 26th, 7:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1067993881?t=0h38m21s;
Defense;W;Remember Me;Ascent;MAX Esports;ChenGuang;CMY;Try;Kak;KonG02;13:9;False;42:59;Saturday, June 26th, 7:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1067993881?t=0h38m21s;
Defense;W;Remember Me;Bind;Remember Me;ChenGuang;CMY;Try;Kak;KonG02;13:11;False;50:52;Saturday, June 26th, 7:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1067993881?t=0h38m21s;
Attack;L;Totoro Gaming;Ascent;MAX Esports;CMY;Kak;KonG02;ChenGuang;Try;3:13;False;31:42;Thursday, July 8th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1080166190?t=0h30m16s;
Defense;L;Totoro Gaming;Bind;Totoro Gaming;CMY;Kak;KonG02;ChenGuang;Try;10:13;False;50:29;Thursday, July 8th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1080166190?t=0h30m16s;
Attack;W;ShanXi Gaming;Bind;MAX Esports;Kak;Try;ChenGuang;KonG02;CMY;15:13;True;1:02:05;Monday, July 12th, 11:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1084158655?t=2h55m26s;
Attack;L;ShanXi Gaming;Split;MAX Esports;Kak;Try;ChenGuang;KonG02;CMY;4:13;False;35:55;Monday, July 12th, 11:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1084158655?t=2h55m26s;
Attack;L;ShanXi Gaming;Ascent;MAX Esports;Kak;Try;ChenGuang;KonG02;CMY;7:13;False;42:19;Monday, July 12th, 11:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1084158655?t=2h55m26s;
Attack;L;Number One Player;Icebox;MAX Esports;KonG02;Kak;Try;ChenGuang;CMY;7:13;False;40:02;Thursday, July 15th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1087239524?t=0h23m0s;
Defense;W;Number One Player;Split;Number One Player;KonG02;Kak;Try;ChenGuang;CMY;13:10;False;48:27;Thursday, July 15th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1087239524?t=0h23m0s;
Attack;W;Number One Player;Ascent;MAX Esports;KonG02;Kak;Try;ChenGuang;CMY;13:6;False;35:35;Thursday, July 15th, 8:00 AM CEST;ImbaTV Fearless Invitational Cup;https://www.twitch.tv/videos/1087239524?t=0h23m0s;
Defense;W;Invictus Gaming;Breeze;MAX Esports;ChenGuang;MyAimTrash;Try;KonG02;CMY;13:5;False;34:02;Thursday, August 5th, 11:00 AM CEST;Energy Vision;url.net;
Attack;W;Invictus Gaming;Bind;MAX Esports;ChenGuang;MyAimTrash;Try;KonG02;CMY;13:6;False;39:32;Thursday, August 5th, 11:00 AM CEST;Energy Vision;url.net;
Attack;L;LIZHI;Split;MAX Esports;MyAimTrash;Try;ChenGuang;KonG02;CMY;7:13;False;40:12;Thursday, August 5th, 2:00 PM CEST;Energy Vision;url.net;
Defense;W;LIZHI;Ascent;MAX Esports;MyAimTrash;Try;ChenGuang;KonG02;CMY;13:10;False;48:26;Thursday, August 5th, 2:00 PM CEST;Energy Vision;url.net;
Attack;L;LIZHI;Bind;MAX Esports;MyAimTrash;Try;ChenGuang;KonG02;CMY;7:13;False;41:05;Thursday, August 5th, 2:00 PM CEST;Energy Vision;url.net;
