starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;lvlUP;Ascent;Decider;copzzz;Stefaann;DzEv;Spakyy;DZAV;13:1;False;22:30;Tuesday, September 29th, 7:30 PM CEST;Show Your Valor;https://www.twitch.tv/videos/755558925?t=2h4m38s;
Attack;W;euphoria;Ascent;Decider;DzEv;Spakyy;copzzz;Stefaann;DZAV;13:9;False;41:27;Sunday, October 4th, 8:15 PM CEST;Show Your Valor;url.net;
Attack;W;Good Game;Ascent;Decider;copzzz;Spakyy;DzEv;Stefaann;DZAV;13:10;False;40:39;Tuesday, October 6th, 8:00 PM CEST;Show Your Valor;https://www.twitch.tv/videos/762339284?t=02h33m05s;
Defense;L;CR4ZY;Bind;Decider;copzzz;DzEv;Spakyy;DZAV;Stefaann;11:13;False;46:36;Sunday, October 11th, 9:25 PM CEST;Show Your Valor;https://www.twitch.tv/videos/767350509?t=3h43m59s;
Attack;W;Kum Gaming;Split;Decider;DZAV;copzzz;Spakyy;DzEv;Stefaann;13:10;False;38:51;Tuesday, October 13th, 8:40 PM CEST;Show Your Valor;https://www.twitch.tv/videos/769216543?t=3h10m22s;
Attack;W;Marten Gaming;Haven;Decider;copzzz;elewent;DZAV;DzEv;Stefaann;13:8;False;36:20;Tuesday, October 20th, 6:55 PM CEST;Show Your Valor;https://www.twitch.tv/videos/776241244?t=1h26m34s;
Attack;W;Team Toxic;Ascent;Team Toxic;DZAV;copzzz;Spakyy;elewent;Stefaann;13:9;False;40:02;Tuesday, October 27th, 8:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/783521966?t=2h39m42s;
Defense;L;Team Toxic;Haven;Team Toxic;DZAV;copzzz;Spakyy;elewent;Stefaann;8:13;False;37:27;Tuesday, October 27th, 8:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/783521966?t=2h39m42s;
Defense;L;Team Toxic;Split;Team Toxic;DZAV;copzzz;Spakyy;elewent;Stefaann;7:13;False;35:07;Tuesday, October 27th, 8:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/783521966?t=2h39m42s;
Defense;L;euphoria;Ascent;MUTED;DzEv;copzzz;DZAV;elewent;Stefaann;12:14;True;50:31;Sunday, November 1st, 5:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/788782980?t=0h50m10s;
Attack;L;euphoria;Bind;MUTED;DzEv;copzzz;DZAV;elewent;Stefaann;6:13;False;35:46;Sunday, November 1st, 5:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/788782980?t=0h50m10s;
