starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Ambush;Ascent;Ambush;iKoniK;Nurfed;svL;ColeUP;Harmon;13:8;False;44:29;Sunday, September 27th, 1:00 AM CEST;Nerd Street Gamers September Monthly;url.net;
Attack;L;Ambush;Bind;Ambush;iKoniK;Nurfed;svL;ColeUP;Harmon;14:16;True;1:03:01;Sunday, September 27th, 1:00 AM CEST;Nerd Street Gamers September Monthly;url.net;
Attack;W;Ambush;Haven;Ambush;iKoniK;Nurfed;svL;ColeUP;Harmon;13:9;False;41:45;Sunday, September 27th, 1:00 AM CEST;Nerd Street Gamers September Monthly;url.net;
Attack;L;Luminosity;Bind;Mystify;svL;Nurfed;iKoniK;Harmon;ColeUP;9:13;False;40:15;Sunday, September 27th, 7:00 PM CEST;Nerd Street Gamers September Monthly;url.net;
Defense;L;Luminosity;Haven;Mystify;svL;Nurfed;iKoniK;Harmon;ColeUP;14:16;True;57:42;Sunday, September 27th, 7:00 PM CEST;Nerd Street Gamers September Monthly;url.net;
Attack;W;Elevate;Haven;Decider;ColeUP;svL;Xyph9r;iKoniK;Singularity;13:7;False;37:32;Tuesday, October 6th, 9:15 PM CEST;Allied Esports Strafe Series #2;url.net;
Attack;W;Team Flux;Ascent;Decider;ColeUP;Xyph9r;iKoniK;svL;Singularity;13:5;False;31:04;Tuesday, October 6th, 10:25 PM CEST;Allied Esports Strafe Series #2;url.net;
Attack;W;Destined;Ascent;Decider;ColeUP;Xyph9r;svL;iKoniK;Singularity;13:9;False;1:10:06;Tuesday, October 6th, 11:25 PM CEST;Allied Esports Strafe Series #2;url.net;
Attack;L;Serenity;Bind;Mystify;iKoniK;svL;ColeUP;Xyph9r;Singularity;5:13;False;35:34;Wednesday, October 7th, 1:00 AM CEST;Allied Esports Strafe Series #2;url.net;
Attack;L;Serenity;Haven;Mystify;iKoniK;svL;ColeUP;Xyph9r;Singularity;7:13;False;35:57;Wednesday, October 7th, 1:00 AM CEST;Allied Esports Strafe Series #2;url.net;
Defense;W;Shiba;Bind;Mystify;svL;iKoniK;Singularity;Xyph9r;Harmon;13:5;False;31:54;Sunday, October 11th, 2:00 AM CEST;Rarity Found Summer Invitational;url.net;
Attack;L;Shiba;Haven;Mystify;svL;iKoniK;Singularity;Xyph9r;Harmon;7:13;False;36:34;Sunday, October 11th, 2:00 AM CEST;Rarity Found Summer Invitational;url.net;
Defense;W;Shiba;Split;Mystify;svL;iKoniK;Singularity;Xyph9r;Harmon;13:1;False;24:22;Sunday, October 11th, 2:00 AM CEST;Rarity Found Summer Invitational;url.net;
Defense;W;Pretty Boyz;Bind;Decider;svL;iKoniK;Xyph9r;Cryocells;Singularity;13:10;False;44:05;Sunday, October 18th, 9:00 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Defense;L;Serenity;Haven;Decider;iKoniK;Cryocells;Xyph9r;Singularity;svL;11:13;False;45:43;Sunday, October 18th, 10:05 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Attack;W;Moon Raccoons;Haven;Mystify;iKoniK;Cryocells;svL;ColeUP;Xyph9r;13:6;False;34:39;Saturday, October 24th, 8:00 PM CEST;Nerd Street Gamers October Monthly;url.net;
Defense;L;Moon Raccoons;Ascent;Mystify;iKoniK;Cryocells;svL;ColeUP;Xyph9r;12:14;True;46:43;Saturday, October 24th, 8:00 PM CEST;Nerd Street Gamers October Monthly;url.net;
Attack;L;Moon Raccoons;Split;Mystify;iKoniK;Cryocells;svL;ColeUP;Xyph9r;10:13;False;42:08;Saturday, October 24th, 8:00 PM CEST;Nerd Street Gamers October Monthly;url.net;
Defense;W;EGO BOYZ CLUB;Haven;EGO BOYZ CLUB;Cryocells;iKoniK;svL;ColeUP;Xyph9r;13:9;False;36:44;Saturday, October 24th, 10:30 PM CEST;Nerd Street Gamers October Monthly;url.net;
Defense;W;EGO BOYZ CLUB;Bind;EGO BOYZ CLUB;Cryocells;iKoniK;svL;ColeUP;Xyph9r;13:9;False;37:17;Saturday, October 24th, 10:30 PM CEST;Nerd Street Gamers October Monthly;url.net;
Attack;L;Elysium;Ascent;Mystify;ColeUP;Cryocells;iKoniK;Xyph9r;svL;12:14;True;49:53;Sunday, October 25th, 1:10 AM CEST;Nerd Street Gamers October Monthly;url.net;
Defense;L;Elysium;Split;Mystify;ColeUP;Cryocells;iKoniK;Xyph9r;svL;5:13;False;35:59;Sunday, October 25th, 1:10 AM CEST;Nerd Street Gamers October Monthly;url.net;
Attack;W;DimmaDome$;Haven;DimmaDome$;iKoniK;kotrus;GMAN;Osias;Complex;13:9;False;39:39;Saturday, November 14th, 2:00 AM CET;First Strike: North America;url.net;
Attack;W;DimmaDome$;Ascent;DimmaDome$;iKoniK;kotrus;GMAN;Osias;Complex;13:9;False;37:20;Saturday, November 14th, 2:00 AM CET;First Strike: North America;url.net;
Attack;L;Luminosity;Ascent;Mystify;Osias;iKoniK;Complex;GMAN;kotrus;12:14;True;48:44;Saturday, November 14th, 9:00 PM CET;First Strike: North America;url.net;
Attack;L;Luminosity;Haven;Mystify;Osias;iKoniK;Complex;GMAN;kotrus;12:14;True;44:19;Saturday, November 14th, 9:00 PM CET;First Strike: North America;url.net;
