starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Alter Ego;Bind;NXL LIGAGAME;vascalizz;fl1pzjder;no1syboy;natz;budimeisteR;13:4;False;27:26;Tuesday, November 24th, 12:00 PM CET;ESL SEA Community Clash;url.net;
Attack;L;Alter Ego;Split;NXL LIGAGAME;vascalizz;fl1pzjder;no1syboy;natz;budimeisteR;1:13;False;21:30;Tuesday, November 24th, 12:00 PM CET;ESL SEA Community Clash;url.net;
Defense;L;Alter Ego;Ascent;NXL LIGAGAME;vascalizz;fl1pzjder;no1syboy;natz;budimeisteR;8:13;False;35:07;Tuesday, November 24th, 12:00 PM CET;ESL SEA Community Clash;url.net;
Defense;W;NG.Black;Ascent;NXL LIGAGAME;natz;fl1pzjder;vascalizz;no1syboy;budimeisteR;13:2;False;26:58;Wednesday, November 25th, 2:00 PM CET;ESL SEA Community Clash;url.net;
Attack;L;NG.Black;Bind;NXL LIGAGAME;natz;fl1pzjder;vascalizz;no1syboy;budimeisteR;12:14;True;49:18;Wednesday, November 25th, 2:00 PM CET;ESL SEA Community Clash;url.net;
Attack;L;NG.Black;TBD;NXL LIGAGAME;natz;fl1pzjder;vascalizz;no1syboy;budimeisteR;0:0;False;-;Wednesday, November 25th, 2:00 PM CET;ESL SEA Community Clash;url.net;
Defense;W;ex-AING MAUNG Esports;Haven;ex-AING MAUNG Esports;fl1pzjder;natz;no1syboy;vascalizz;budimeisteR;13:3;False;28:57;Wednesday, December 2nd, 9:30 AM CET;First Strike: Indonesia;url.net;
Attack;W;ex-AING MAUNG Esports;Ascent;ex-AING MAUNG Esports;fl1pzjder;natz;no1syboy;vascalizz;budimeisteR;13:2;False;23:56;Wednesday, December 2nd, 9:30 AM CET;First Strike: Indonesia;url.net;
Defense;W;KINGSLAYERS;Ascent;KINGSLAYERS;fl1pzjder;budimeisteR;vascalizz;no1syboy;natz;13:8;False;44:51;Friday, December 4th, 9:30 AM CET;First Strike: Indonesia;https://youtu.be/B_Qtil_VNfA?t=3464;
Defense;L;KINGSLAYERS;Icebox;KINGSLAYERS;fl1pzjder;budimeisteR;vascalizz;no1syboy;natz;0:0;False;-;Friday, December 4th, 9:30 AM CET;First Strike: Indonesia;https://youtu.be/B_Qtil_VNfA?t=3464;
Attack;W;BOOM Esports;Ascent;BOOM Esports;fl1pzjder;vascalizz;budimeisteR;no1syboy;natz;13:7;False;39:08;Saturday, December 5th, 12:30 PM CET;First Strike: Indonesia;https://youtu.be/irVkQ1gws_o?t=12672;
Defense;W;BOOM Esports;Bind;BOOM Esports;fl1pzjder;vascalizz;budimeisteR;no1syboy;natz;14:12;True;55:22;Saturday, December 5th, 12:30 PM CET;First Strike: Indonesia;https://youtu.be/irVkQ1gws_o?t=12672;
Attack;W;Alter Ego;Haven;NXL LIGAGAME;fl1pzjder;vascalizz;budimeisteR;natz;no1syboy;15:13;True;56:17;Sunday, December 6th, 12:00 PM CET;First Strike: Indonesia;url.net;
