starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Team Divinity;Split;No Pressure;Duno;Cloud;dinkzj;7ssk7;arch;13:5;False;37:06;Wednesday, June 30th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;url.net;
Attack;W;Team Divinity;Icebox;No Pressure;Duno;Cloud;dinkzj;7ssk7;arch;13:10;False;47:30;Wednesday, June 30th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;url.net;
Defense;L;Gambit Esports;Icebox;Gambit Esports;Cloud;dinkzj;arch;Duno;7ssk7;11:13;False;48:12;Wednesday, June 30th, 7:30 PM CEST;Champions Tour CIS Stage 3: Challengers 1;url.net;
Attack;L;Gambit Esports;Bind;Gambit Esports;Cloud;dinkzj;arch;Duno;7ssk7;11:13;False;51:23;Wednesday, June 30th, 7:30 PM CEST;Champions Tour CIS Stage 3: Challengers 1;url.net;
Attack;W;tyeasy;Haven;tyeasy;Duno;dinkzj;Cloud;arch;7ssk7;13:3;False;33:02;Thursday, July 1st, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1073400719?t=0h54m10s;
Attack;L;tyeasy;Ascent;tyeasy;Duno;dinkzj;Cloud;arch;7ssk7;9:13;False;45:05;Thursday, July 1st, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1073458843?t=0h9m35s;
Defense;W;tyeasy;Split;tyeasy;Duno;dinkzj;Cloud;arch;7ssk7;13:4;False;34:39;Thursday, July 1st, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1073458843?t=0h9m35s;
Defense;W;One Breath Gaming;Ascent;One Breath Gaming;Cloud;dinkzj;7ssk7;arch;Duno;13:6;False;42:11;Tuesday, July 6th, 3:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1078274764?t=1h5m2s;
Defense;W;One Breath Gaming;Icebox;No Pressure;Cloud;dinkzj;7ssk7;arch;Duno;13:6;False;38:13;Tuesday, July 6th, 3:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/_2MGPjUpKJY?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r;
Attack;L;forZe;Haven;forZe;Cloud;Duno;7ssk7;dinkzj;arch;1:13;False;34:22;Wednesday, July 7th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1079357856?t=1h2m27s;
Defense;W;forZe;Icebox;No Pressure;Cloud;Duno;7ssk7;dinkzj;arch;13:8;False;51:45;Wednesday, July 7th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/3U8m5x7GbMs?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r;
Attack;W;forZe;Split;forZe;Cloud;Duno;7ssk7;dinkzj;arch;13:10;False;53:53;Wednesday, July 7th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/lXHo6nE3xVA?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r;
Attack;L;Gambit Esports;Icebox;No Pressure;Cloud;Duno;dinkzj;7ssk7;arch;10:13;False;51:37;Thursday, July 8th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1080381075?t=1h3m48s;
Defense;L;Gambit Esports;Ascent;Gambit Esports;Cloud;Duno;dinkzj;7ssk7;arch;5:13;False;39:49;Thursday, July 8th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/HYpsQ7xotZA?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r;
Attack;W;forZe;Icebox;No Pressure;7ssk7;Cloud;arch;Duno;dinkzj;13:7;False;40:31;Friday, July 9th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1081425930?t=1h3m19s;
Defense;W;forZe;Bind;forZe;7ssk7;Cloud;arch;Duno;dinkzj;13:1;False;29:19;Friday, July 9th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1081425930?t=1h3m19s;
Attack;W;forZe;Split;No Pressure;7ssk7;Cloud;arch;Duno;dinkzj;14:12;True;57:08;Friday, July 9th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://www.twitch.tv/videos/1081425930?t=1h3m19s;
Attack;L;Gambit Esports;Icebox;No Pressure;Cloud;7ssk7;arch;dinkzj;Duno;10:13;False;1:00:48;Saturday, July 10th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/fNiYeqmCAXI?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r&t=0;
Defense;L;Gambit Esports;Breeze;Gambit Esports;Cloud;7ssk7;arch;dinkzj;Duno;5:13;False;31:03;Saturday, July 10th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/doNdGX9VEL8?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r&t=0;
Attack;L;Gambit Esports;Split;No Pressure;Cloud;7ssk7;arch;dinkzj;Duno;8:13;False;43:37;Saturday, July 10th, 5:00 PM CEST;Champions Tour CIS Stage 3: Challengers 1;https://youtu.be/kKCBadaKf_E?list=PLo98NGHEPHSnnFcI3wKAaq5eQtSu7tT_r&t=0;
