starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;Velocity Gaming;Split;Noble India;hikkA;psy;Harshhh;t1toSAVAGE;Rexy;6:13;False;40:43;Monday, September 28th, 12:30 PM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=R1EnUBEOsos;
Attack;L;Velocity Gaming;Ascent;Noble India;hikkA;psy;Harshhh;t1toSAVAGE;Rexy;6:13;False;34:53;Monday, September 28th, 12:30 PM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=R1EnUBEOsos;
Attack;W;Level 5;Bind;Decider;hikkA;psy;Rexy;Harshhh;t1toSAVAGE;13:7;False;49:02;Wednesday, September 30th, 1:30 PM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=NIZHgZjCzkY;
Defense;L;Velocity Gaming;Bind;Noble India;psy;Harshhh;Rexy;hikkA;t1toSAVAGE;9:13;False;42:14;Sunday, October 4th, 8:30 AM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=qAHFqSyi5fM;
Attack;W;Velocity Gaming;Ascent;Noble India;psy;Harshhh;Rexy;hikkA;t1toSAVAGE;13:6;False;39:08;Sunday, October 4th, 8:30 AM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=qAHFqSyi5fM;
Defense;L;Velocity Gaming;Haven;Noble India;psy;Harshhh;Rexy;hikkA;t1toSAVAGE;7:13;False;39:38;Sunday, October 4th, 8:30 AM CEST;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=qAHFqSyi5fM;
Attack;W;Reckoning Esports;Haven;Noble India;SSSami;mw1;Harshhh;Rexy;hikkA;13:11;False;53:46;Saturday, November 7th, 12:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=wRZBAPXqXHg;
Defense;W;Reckoning Esports;Ascent;Noble India;SSSami;mw1;Harshhh;Rexy;hikkA;13:2;False;30:24;Saturday, November 7th, 12:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=wRZBAPXqXHg;
Defense;W;GodLike Esports;Haven;GodLike Esports;SSSami;Rexy;psy;hikkA;Harshhh;13:4;False;33:57;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Attack;W;GodLike Esports;Ascent;GodLike Esports;SSSami;Rexy;psy;hikkA;Harshhh;13:3;False;33:49;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Defense;W;GodLike Esports;Split;GodLike Esports;SSSami;Rexy;psy;hikkA;Harshhh;13:10;False;45:15;Sunday, November 8th, 1:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=AoPKjpWfR0M;
Attack;W;Velocity Gaming;Bind;Noble India;SSSami;Rexy;Harshhh;hikkA;psy;13:9;False;47:12;Sunday, November 29th, 3:00 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=kk6mvFwUrks;
Defense;L;Velocity Gaming;Haven;Noble India;SSSami;Rexy;Harshhh;hikkA;psy;8:13;False;44:34;Sunday, November 29th, 3:00 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=kk6mvFwUrks;
Defense;W;Velocity Gaming;Ascent;Noble India;SSSami;Rexy;Harshhh;hikkA;psy;13:8;False;41:53;Sunday, November 29th, 3:00 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=kk6mvFwUrks;
Attack;L;Velocity Gaming;Split;Noble India;SSSami;Rexy;Harshhh;hikkA;psy;10:13;False;46:50;Sunday, November 29th, 3:00 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=kk6mvFwUrks;
Defense;L;Velocity Gaming;Split;Decider;SSSami;Rexy;Harshhh;hikkA;psy;6:13;False;37:44;Sunday, November 29th, 3:00 PM CET;The Esports Club Challenger Series 2020;https://www.youtube.com/watch?v=kk6mvFwUrks;
