starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Kanga Esports;Haven;Decider;Texta;tucks;Autumn;disk0;DickStacy;13:3;False;30:44;Friday, November 6th, 8:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/793545956?t=0h17m24s;
Defense;W;Notick;Ascent;Decider;Autumn;tucks;DickStacy;Texta;disk0;15:13;True;52:23;Friday, November 6th, 9:15 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/793547961?t=1h11m55s;
Defense;W;Avant;Bind;Decider;Autumn;DickStacy;tucks;disk0;Texta;13:5;False;31:55;Friday, November 6th, 10:45 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/793508205?t=4h9m32s;
Attack;W;RipNTear;Ascent;RipNTear;tucks;Texta;DickStacy;disk0;Autumn;14:12;True;45:44;Saturday, November 7th, 2:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/794360533?t=0h12m37s;
Defense;W;RipNTear;Bind;RipNTear;tucks;Texta;DickStacy;disk0;Autumn;13:6;False;31:11;Saturday, November 7th, 2:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/794360533?t=0h12m37s;
Attack;W;EXO Clan;Split;ORDER;DickStacy;disk0;Autumn;tucks;Texta;13:11;False;46:29;Saturday, November 7th, 6:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/794317590?t=4h50m18s;
Defense;L;EXO Clan;Bind;ORDER;DickStacy;disk0;Autumn;tucks;Texta;10:13;False;45:49;Saturday, November 7th, 6:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/794317590?t=4h50m18s;
Defense;L;EXO Clan;Ascent;ORDER;DickStacy;disk0;Autumn;tucks;Texta;11:13;False;42:54;Saturday, November 7th, 6:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/794317590?t=4h50m18s;
Attack;W;Notick;Ascent;ORDER;DickStacy;Texta;disk0;tucks;Autumn;13:11;False;49:04;Sunday, November 8th, 2:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/795511307?t=0h53m35s;
Defense;W;Notick;Haven;Notick;DickStacy;Texta;disk0;tucks;Autumn;13:9;False;40:07;Sunday, November 8th, 2:00 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/795511307?t=0h53m35s;
Defense;W;EXO Clan;Bind;ORDER;Autumn;DickStacy;disk0;tucks;Texta;15:13;True;57:54;Sunday, November 8th, 5:30 AM CET;Chiefs Men Expert Invitational;https://www.twitch.tv/videos/795511307?t=4h7m40s;
Attack;W;EXO Clan;Split;ORDER;Autumn;DickStacy;disk0;tucks;Texta;13:11;False;51:05;Sunday, November 8th, 5:30 AM CET;Chiefs Men Expert Invitational;https://youtu.be/pPJ9-DPmN5Q?list=PLbXG5BiXPHoAdwxEv_k0bTY8JtzENgyiK&t=14831;
