starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Wygers Argentina;Ascent;Optix;ligasa;alca;vickt0r;adi;supppppp;13:9;False;41:32;Friday, January 22nd, 3:00 AM CET;Champions Tour LATAM Stage 1: Challengers 1;url.net;
Defense;L;Wygers Argentina;Bind;Optix;ligasa;alca;vickt0r;adi;supppppp;6:13;False;28:56;Friday, January 22nd, 3:00 AM CET;Champions Tour LATAM Stage 1: Challengers 1;url.net;
Attack;L;Wygers Argentina;Haven;Optix;ligasa;alca;vickt0r;adi;supppppp;2:13;False;32:35;Friday, January 22nd, 3:00 AM CET;Champions Tour LATAM Stage 1: Challengers 1;url.net;
Defense;W;DKS Esports;Bind;Optix;ligasa;vickt0r;alca;vaiZ;adi;13:9;False;41:35;Wednesday, February 3rd, 11:00 PM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Attack;W;DKS Esports;Haven;Optix;ligasa;vickt0r;alca;vaiZ;adi;13:10;False;43:29;Wednesday, February 3rd, 11:00 PM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Attack;W;Buscando Org;Bind;Optix;ligasa;vaiZ;adi;alca;vickt0r;13:3;False;26:14;Friday, February 5th, 1:00 AM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Defense;W;Buscando Org;Haven;Optix;ligasa;vaiZ;adi;alca;vickt0r;13:4;False;26:43;Friday, February 5th, 1:00 AM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Attack;L;Stampede Gaming;Haven;Decider;vaiZ;alca;vickt0r;ligasa;adi;13:15;True;48:03;Saturday, February 6th, 11:00 PM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Attack;L;KRÜ Esports;Bind;Decider;vickt0r;vaiZ;alca;ligasa;adi;9:13;False;41:23;Tuesday, February 9th, 9:00 PM CET;Champions Tour LATAM Stage 1: Challengers 2;https://www.twitch.tv/videos/907386231?t=2h19m57s;
Defense;W;9z Team;Haven;Decider;vickt0r;vaiZ;ligasa;adi;alca;13:3;False;30:44;Tuesday, February 9th, 11:00 PM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Defense;L;Australs;Haven;Optix;ligasa;alca;vaiZ;vickt0r;adi;7:13;False;35:50;Thursday, February 11th, 1:00 AM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Defense;W;Australs;Bind;Optix;ligasa;alca;vaiZ;vickt0r;adi;13:5;False;35:50;Thursday, February 11th, 1:00 AM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
Defense;L;Australs;Split;Optix;ligasa;alca;vaiZ;vickt0r;adi;0:13;False;24:37;Thursday, February 11th, 1:00 AM CET;Champions Tour LATAM Stage 1: Challengers 2;url.net;
None;None;AracneEsports;None;None;Player A1;Player A2;Player A3;Player A4;Player A5;0:0;False;00:00;Tuesday, February 23rd, 7:00 PM CET;Champions Tour LATAM Stage 1: Challengers 3;None;
Defense;L;Procyon Team;Ascent;Optix;vaiZ;vickt0r;alca;ligasa;adi;9:13;False;38:42;Thursday, February 25th, 9:00 PM CET;Champions Tour LATAM Stage 1: Challengers 3;https://www.twitch.tv/videos/928101637?t=1h24m16s;
Attack;W;Procyon Team;Bind;Optix;vaiZ;vickt0r;alca;ligasa;adi;13:11;False;42:05;Thursday, February 25th, 9:00 PM CET;Champions Tour LATAM Stage 1: Challengers 3;https://www.twitch.tv/videos/928101637?t=1h24m16s;
