starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Bounty Esports;Bind;PUGSTARS;cheatcode;b0ssy;Sympul;iKoniK;valyn;13:8;False;34:36;Monday, February 15th, 4:35 AM CET;Valorant Sunday Showdown #43;url.net;
Defense;W;Bounty Esports;Haven;Bounty Esports;cheatcode;b0ssy;Sympul;iKoniK;valyn;13:8;False;32:45;Monday, February 15th, 4:35 AM CET;Valorant Sunday Showdown #43;url.net;
Defense;W;Last Round Save;Split;PUGSTARS;b0ssy;DENYA;Nurfed;Rejante;Derrek;13:3;False;25:30;Monday, February 22nd, 6:10 AM CET;Valorant Sunday Showdown #44;https://www.twitch.tv/videos/923351570?t=9h15m27s;
Attack;W;Last Round Save;Bind;PUGSTARS;b0ssy;DENYA;Nurfed;Rejante;Derrek;13:11;False;40:43;Monday, February 22nd, 6:10 AM CET;Valorant Sunday Showdown #44;https://www.twitch.tv/videos/923351570?t=9h15m27s;
Attack;W;T1;Ascent;PUGSTARS;Derrek;b0ssy;Nurfed;zander;DENYA;13:6;False;37:24;Friday, February 26th, 2:40 AM CET;Champions Tour North America Stage 1: Challengers 3;https://www.twitch.tv/videos/928381925?t=2h56m58s;
Attack;L;T1;Haven;PUGSTARS;Derrek;b0ssy;Nurfed;zander;DENYA;9:13;False;47:01;Friday, February 26th, 2:40 AM CET;Champions Tour North America Stage 1: Challengers 3;https://www.twitch.tv/videos/928381925?t=2h56m58s;
Attack;L;T1;Split;PUGSTARS;Derrek;b0ssy;Nurfed;zander;DENYA;5:13;False;37:39;Friday, February 26th, 2:40 AM CET;Champions Tour North America Stage 1: Challengers 3;https://www.twitch.tv/videos/928381925?t=2h56m58s;
Defense;W;Bounty Esports;Haven;Bounty Esports;valyn;b0ssy;DENYA;Derrek;Nurfed;13:9;False;37:43;Monday, March 1st, 4:40 AM CET;Valorant Sunday Showdown #45;url.net;
Attack;L;Bounty Esports;Ascent;Bounty Esports;valyn;b0ssy;DENYA;Derrek;Nurfed;12:14;True;48:13;Monday, March 1st, 4:40 AM CET;Valorant Sunday Showdown #45;url.net;
Defense;W;Bounty Esports;Bind;Bounty Esports;valyn;b0ssy;DENYA;Derrek;Nurfed;15:13;True;51:50;Monday, March 1st, 4:40 AM CET;Valorant Sunday Showdown #45;url.net;
Attack;W;Complexity;Bind;PUGSTARS;b0ssy;DENYA;zander;Nurfed;brawk;13:8;False;39:18;Tuesday, March 23rd, 12:00 AM CET;Knights Monthly Gauntlet: March;https://www.twitch.tv/videos/959079280?t=5h15m6s;
Defense;W;Complexity;Ascent;PUGSTARS;b0ssy;DENYA;zander;Nurfed;brawk;13:2;False;31:47;Tuesday, March 23rd, 12:00 AM CET;Knights Monthly Gauntlet: March;https://www.twitch.tv/videos/959079280?t=5h15m6s;
Defense;L;Version1;Icebox;Version1;brawk;zander;b0ssy;DENYA;Nurfed;6:13;False;30:07;Tuesday, March 23rd, 8:00 PM CET;Knights Monthly Gauntlet: March;https://www.twitch.tv/videos/960190431?t=2h17m25s;
Attack;W;Version1;Ascent;PUGSTARS;brawk;zander;b0ssy;DENYA;Nurfed;13:9;False;40:05;Tuesday, March 23rd, 8:00 PM CET;Knights Monthly Gauntlet: March;https://www.twitch.tv/videos/960190431?t=2h17m25s;
Attack;L;Version1;Haven;Version1;brawk;zander;b0ssy;DENYA;Nurfed;7:13;False;32:21;Tuesday, March 23rd, 8:00 PM CET;Knights Monthly Gauntlet: March;https://www.twitch.tv/videos/960190431?t=2h17m25s;
Attack;W;Cloud9;Bind;PUGSTARS;zander;Nurfed;DENYA;b0ssy;brawk;15:13;True;49:43;Saturday, March 27th, 7:00 PM CET;Nerd Street Gamers March Monthly;url.net;
Defense;W;Cloud9;Haven;PUGSTARS;zander;Nurfed;DENYA;b0ssy;brawk;14:12;True;48:30;Saturday, March 27th, 7:00 PM CET;Nerd Street Gamers March Monthly;url.net;
Defense;W;Evil Geniuses;Ascent;Evil Geniuses;Nurfed;brawk;b0ssy;DENYA;zander;13:11;False;43:40;Sunday, March 28th, 12:00 AM CET;Nerd Street Gamers March Monthly;url.net;
Attack;W;Evil Geniuses;Haven;Evil Geniuses;Nurfed;brawk;b0ssy;DENYA;zander;13:7;False;33:00;Sunday, March 28th, 12:00 AM CET;Nerd Street Gamers March Monthly;url.net;
Defense;L;Andbox;Bind;Andbox;brawk;DENYA;b0ssy;zander;Nurfed;9:13;False;46:50;Sunday, March 28th, 7:00 PM CEST;Nerd Street Gamers March Monthly;url.net;
Attack;L;Andbox;Ascent;PUGSTARS;brawk;DENYA;b0ssy;zander;Nurfed;1:13;False;24:39;Sunday, March 28th, 7:00 PM CEST;Nerd Street Gamers March Monthly;url.net;
Attack;L;seeker;Haven;Decider;b0ssy;zander;DENYA;Cryocells;Nurfed;13:15;True;49:00;Tuesday, April 6th, 1:10 AM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Defense;W;Knights;Bind;PUGSTARS;Cryocells;DENYA;zander;Nurfed;b0ssy;13:5;False;35:17;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
Defense;L;Knights;Ascent;Knights;Cryocells;DENYA;zander;Nurfed;b0ssy;9:13;False;40:41;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
Defense;L;Knights;Haven;PUGSTARS;Cryocells;DENYA;zander;Nurfed;b0ssy;5:13;False;34:03;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
