starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Nebula;Ascent;Pigeons Esports;Kraken;Ronin;SnowyIsKool;ESUH;SvK;13:10;False;46:45;Monday, May 31st, 10:30 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1041118935?t=0h26m45s;
Attack;L;Nebula;Bind;Pigeons Esports;Kraken;Ronin;SnowyIsKool;ESUH;SvK;9:13;False;37:46;Monday, May 31st, 10:30 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1041118935?t=0h26m45s;
Defense;L;Nebula;Split;Pigeons Esports;Kraken;Ronin;SnowyIsKool;ESUH;SvK;15:17;True;1:00:01;Monday, May 31st, 10:30 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1041118935?t=0h26m45s;
Defense;W;McTeam;Haven;McTeam;Kraken;cjh;vort;Ronin;ESUH;13:11;False;44:40;Monday, June 7th, 12:40 PM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1048541610?t=02h27m02s;
Attack;L;McTeam;Ascent;Pigeons Esports;Kraken;cjh;vort;Ronin;ESUH;6:13;False;35:30;Monday, June 7th, 12:40 PM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1048541610?t=02h27m02s;
Defense;W;McTeam;Bind;Pigeons Esports;Kraken;cjh;vort;Ronin;ESUH;17:15;True;59:59;Monday, June 7th, 12:40 PM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1048541610?t=02h27m02s;
Attack;L;Team Bliss;Split;Team Bliss;Kraken;ESUH;vort;Haze;Ronin;8:13;False;39:16;Monday, June 14th, 10:30 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1055786856?t=0h25m8s;
Defense;L;Team Bliss;Haven;Pigeons Esports;Kraken;ESUH;vort;Haze;Ronin;10:13;False;40:48;Monday, June 14th, 10:30 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1055786856?t=0h25m8s;
Defense;L;Villains Esports;Haven;Villains Esports;Kraken;Ronin;SnowyIsKool;SvK;ESUH;13:15;True;50:55;Tuesday, June 29th, 10:45 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1071098395?t=0h19m10s;
Attack;L;Villains Esports;Icebox;Pigeons Esports;Kraken;Ronin;SnowyIsKool;SvK;ESUH;9:13;False;42:05;Tuesday, June 29th, 10:45 AM CEST;LPL Autumn Cup Legends 2021;https://www.twitch.tv/videos/1071098395?t=0h19m10s;
Defense;L;Villains Esports;Ascent;Decider;ESUH;Yuna;Jurkey64;dylusion;4:13;False;53:15;Thursday, July 29th, 10:30 AM CEST;Oceania Tour: Stage 03;https://www.twitch.tv/videos/1101573386?t=0h40m24s;
Attack;W;Dire Wolves;Icebox;Pigeons Esports;OrangePearl;Yuna;ESUH;Jurkey64;dylusion;13:5;False;38:35;Friday, July 30th, 10:30 AM CEST;Oceania Tour: Stage 03;url.net;
Defense;L;Dire Wolves;Ascent;Dire Wolves;OrangePearl;Yuna;ESUH;Jurkey64;dylusion;8:13;False;42:23;Friday, July 30th, 10:30 AM CEST;Oceania Tour: Stage 03;url.net;
Defense;L;Dire Wolves;Haven;Dire Wolves;OrangePearl;Yuna;ESUH;Jurkey64;dylusion;1:13;False;33:21;Friday, July 30th, 10:30 AM CEST;Oceania Tour: Stage 03;url.net;
Defense;W;Shadownet;Ascent;Shadownet;ESUH;OrangePearl;Jurkey64;Yuna;dylusion;13:6;False;42:38;Monday, August 2nd, 10:30 AM CEST;LPL Winter Cup Legends 2021;https://www.twitch.tv/videos/1105640371?t=0h9m6s;
Attack;W;Shadownet;Split;Pigeons Esports;ESUH;OrangePearl;Jurkey64;Yuna;dylusion;13:9;False;44:58;Monday, August 2nd, 10:30 AM CEST;LPL Winter Cup Legends 2021;https://www.twitch.tv/videos/1105640371?t=0h9m6s;
Defense;L;Straight Outta The Zoo;Ascent;Straight Outta The Zoo;Yuna;Jurkey64;dylusion;OrangePearl;ESUH;11:13;False;49:21;Monday, August 9th, 10:30 AM CEST;LPL Winter Cup Legends 2021;https://www.twitch.tv/videos/1112831407?t=0h25m33s;
Attack;L;Straight Outta The Zoo;Icebox;Pigeons Esports;Yuna;Jurkey64;dylusion;OrangePearl;ESUH;7:13;False;34:04;Monday, August 9th, 10:30 AM CEST;LPL Winter Cup Legends 2021;https://www.twitch.tv/videos/1112831407?t=0h25m33s;
Defense;L;Nebula;Bind;Nebula;Jurkey64;dylusion;OrangePearl;ESUH;Yuna;7:13;False;35:44;Monday, August 16th, 10:30 AM CEST;LPL Winter Cup Legends 2021;url.net;
Attack;L;Nebula;Ascent;Pigeons Esports;Jurkey64;dylusion;OrangePearl;ESUH;Yuna;11:13;False;44:40;Monday, August 16th, 10:30 AM CEST;LPL Winter Cup Legends 2021;url.net;
Defense;W;1620 Kings;Breeze;1620 Kings;OrangePearl;dylusion;Jurkey64;ESUH;Yuna;13:9;False;43:40;Monday, August 23rd, 10:30 AM CEST;LPL Winter Cup Legends 2021;url.net;
Attack;W;1620 Kings;Ascent;Pigeons Esports;OrangePearl;dylusion;Jurkey64;ESUH;Yuna;13:6;False;38:08;Monday, August 23rd, 10:30 AM CEST;LPL Winter Cup Legends 2021;url.net;
Defense;L;Villains Esports;Haven;Villains Esports;OrangePearl;ESUH;dylusion;Yuna;Jurkey64;6:13;False;35:11;Monday, August 30th, 10:30 AM CEST;LPL Winter Cup Legends 2021;https://www.twitch.tv/videos/1133853569?t=0h21m33s;
