starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Rix.GG;Haven;Decider;HearthBeat;EduCoz;Quick;dudleyzor;Cybe8;13:7;False;39:18;Thursday, August 6th, 4:00 PM CEST;GLX Elite Series;url.net;
Attack;L;BIG;Split;Decider;dudleyzor;Quick;EduCoz;Cybe8;HearthBeat;9:13;False;43:07;Thursday, August 6th, 5:50 PM CEST;GLX Elite Series;url.net;
Attack;L;Rix.GG;Haven;Decider;Cybe8;dudleyzor;EduCoz;HearthBeat;Quick;6:13;False;36:21;Thursday, August 6th, 6:55 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/702118379?t=3h2m7s;
Defense;W;DREAMCHASERS;Haven;Decider;Quick;EduCoz;Cybe8;HearthBeat;dudleyzor;13:11;False;44:41;Sunday, September 6th, 4:00 PM CEST;GLX Elite Series;url.net;
Defense;L;flawless;Bind;Decider;dudleyzor;EduCoz;Cybe8;Quick;HearthBeat;9:13;False;44:11;Sunday, September 6th, 5:10 PM CEST;GLX Elite Series;url.net;
Attack;W;STR99;Haven;STR99;EduCoz;Cybe8;HearthBeat;dudleyzor;Quick;13:9;False;44:02;Friday, September 11th, 6:00 PM CEST;Happy Birthday Cup;url.net;
Defense;L;STR99;Split;STR99;EduCoz;Cybe8;HearthBeat;dudleyzor;Quick;11:13;False;42:26;Friday, September 11th, 6:00 PM CEST;Happy Birthday Cup;url.net;
Attack;L;STR99;Ascent;STR99;EduCoz;Cybe8;HearthBeat;dudleyzor;Quick;7:13;False;35:39;Friday, September 11th, 6:00 PM CEST;Happy Birthday Cup;url.net;
Defense;L;FeaFeaFea;Haven;Decider;EduCoz;dudleyzor;Cybe8;noWAY;HearthBeat;11:13;False;43:48;Saturday, October 3rd, 1:00 PM CEST;Valorant Contenders Cup;url.net;
Defense;W;Tarren Mill;Split;Decider;dudleyzor;gRIGUAj;EduCoz;zFouR;HearthBeat;13:8;False;41:19;Saturday, December 19th, 6:30 PM CET;Nicecactus Christmas Trophy;url.net;
Attack;L;Inside Games;Haven;Inside Games;zFouR;dudleyzor;gRIGUAj;EduCoz;HearthBeat;8:13;False;34:59;Saturday, December 19th, 7:30 PM CET;Nicecactus Christmas Trophy;url.net;
Defense;L;Inside Games;Split;Inside Games;zFouR;dudleyzor;gRIGUAj;EduCoz;HearthBeat;6:13;False;32:18;Saturday, December 19th, 7:30 PM CET;Nicecactus Christmas Trophy;url.net;
