starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Immortals;Ascent;Immortals;jmoh;skuba;scourge;fiziq;oderus;13:11;False;47:58;Friday, July 2nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Attack;L;Immortals;Icebox;Pioneers;jmoh;skuba;scourge;fiziq;oderus;7:13;False;38:32;Friday, July 2nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;W;Immortals;Bind;Immortals;jmoh;skuba;scourge;fiziq;oderus;13:9;False;49:57;Friday, July 2nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;W;VIRTUOSO;Ascent;VIRTUOSO;fiziq;jmoh;skuba;scourge;oderus;13:3;False;32:25;Monday, July 5th, 12:05 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1076638913?t=3h48m45s;
Attack;W;VIRTUOSO;Bind;Pioneers;fiziq;jmoh;skuba;scourge;oderus;13:5;False;35:11;Monday, July 5th, 12:05 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1076638913?t=3h48m45s;
Defense;L;Envy;Haven;Envy;skuba;oderus;jmoh;fiziq;scourge;9:13;False;37:52;Thursday, July 8th, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1080724084?t=0h42m43s;
Attack;L;Envy;Ascent;Pioneers;skuba;oderus;jmoh;fiziq;scourge;11:13;False;46:39;Thursday, July 8th, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1080724084?t=0h42m43s;
Defense;L;Version1;Split;Version1;jmoh;oderus;fiziq;skuba;scourge;7:13;False;40:00;Friday, July 9th, 4:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1080724084?t=5h26m49s;
Attack;W;Version1;Ascent;Pioneers;jmoh;oderus;fiziq;skuba;scourge;13:10;False;48:04;Friday, July 9th, 4:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1080724084?t=5h26m49s;
Defense;W;Version1;Icebox;Version1;jmoh;oderus;fiziq;skuba;scourge;13:9;False;45:07;Friday, July 9th, 4:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1080724084?t=5h26m49s;
Defense;L;Sentinels;Haven;Pioneers;oderus;scourge;fiziq;skuba;jmoh;9:13;False;40:57;Saturday, July 10th, 2:15 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1081759104?t=13992s;
Attack;L;Sentinels;Bind;Pioneers;oderus;scourge;fiziq;skuba;jmoh;5:13;False;34:26;Saturday, July 10th, 2:15 AM CEST;Champions Tour North America Stage 3: Challengers 1;https://www.twitch.tv/videos/1081759104?t=13992s;
Defense;W;Luminosity;Icebox;Luminosity;oderus;scourge;skuba;fiziq;jammyz;13:10;False;44:09;Friday, July 30th, 1:15 AM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1101957948?t=4h51m28s;
Attack;L;Luminosity;Ascent;Pioneers;oderus;scourge;skuba;fiziq;jammyz;13:15;True;1:02:44;Friday, July 30th, 1:15 AM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1101957948?t=4h51m28s;
Defense;L;Luminosity;Split;Luminosity;oderus;scourge;skuba;fiziq;jammyz;6:13;False;47:58;Friday, July 30th, 1:15 AM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1101957948?t=4h51m28s;
Defense;L;FaZe Clan;Ascent;FaZe Clan;jmoh;skuba;oderus;fiziq;scourge;12:14;True;54:27;Friday, July 30th, 4:45 AM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1101979070?t=8h10m19s;
Attack;L;FaZe Clan;Bind;Pioneers;jmoh;skuba;oderus;fiziq;scourge;9:13;False;48:01;Friday, July 30th, 4:45 AM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1101979070?t=8h10m19s;
Defense;W;All Around Savants;Icebox;All Around Savants;jmoh;fiziq;oderus;scourge;skuba;13:5;False;32:57;Thursday, August 19th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;All Around Savants;Ascent;All Around Savants;jmoh;fiziq;oderus;scourge;skuba;13:6;False;33:55;Thursday, August 19th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;W;Andbox;Breeze;Pioneers;fiziq;jmoh;skuba;oderus;scourge;13:10;False;45:26;Thursday, August 19th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;Andbox;Ascent;Pioneers;fiziq;jmoh;skuba;oderus;scourge;13:10;False;42:32;Thursday, August 19th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;L;Evil Geniuses;Ascent;Evil Geniuses;oderus;fiziq;jmoh;scourge;skuba;2:13;False;32:14;Saturday, August 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;L;Evil Geniuses;Haven;Evil Geniuses;oderus;fiziq;jmoh;scourge;skuba;8:13;False;39:18;Saturday, August 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
