starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;LULw;Ascent;Decider;synsi;Polvi;Vilperi;Blomster;Mukke;6:13;False;-;Sunday, July 19th, 11:00 PM CEST;D2 Esports Europe 1k;url.net;
Defense;L;mismashhh;Bind;Decider;Mukke;Polvi;Blomster;synsi;Vilperi;13:15;True;-;Friday, July 24th, 9:30 PM CEST;CLUTCH BATTLES Grand Tournament;url.net;
Defense;L;FTW Esports;Ascent;Decider;shéd;synsi;Vilperi;Mukke;delezyh;8:13;False;59:30;Saturday, January 23rd, 3:15 PM CET;Red Bull Home Ground;url.net;
Defense;W;Ahlman Esports;Bind;Quickmath;synsi;Mukke;Kevyt;Vilperi;ZIGITARES;13:8;False;38:58;Friday, February 5th, 9:00 PM CET;FEL Valorant Cup #2;url.net;
Attack;L;Ahlman Esports;Haven;Quickmath;synsi;Mukke;Kevyt;Vilperi;ZIGITARES;11:13;False;41:09;Friday, February 5th, 9:00 PM CET;FEL Valorant Cup #2;url.net;
Defense;W;Ahlman Esports;Split;Quickmath;synsi;Mukke;Kevyt;Vilperi;ZIGITARES;13:9;False;36:58;Friday, February 5th, 9:00 PM CET;FEL Valorant Cup #2;url.net;
Attack;L;VISU Gaming;Split;Quickmath;ZIGITARES;nausea;Vilperi;Mukke;synsi;3:13;False;25:32;Monday, March 15th, 8:00 PM CET;FEL Valorant Cup #2;url.net;
Defense;L;VISU Gaming;Haven;Quickmath;ZIGITARES;nausea;Vilperi;Mukke;synsi;15:17;True;53:00;Monday, March 15th, 8:00 PM CET;FEL Valorant Cup #2;url.net;
Defense;L;STAGA;Split;STAGA;nausea;ZIGITARES;synsi;Mukke;Vilperi;5:13;False;27:15;Friday, March 19th, 8:00 PM CET;FEL Valorant Cup #2;url.net;
Defense;W;STAGA;Haven;STAGA;nausea;ZIGITARES;synsi;Mukke;Vilperi;13:6;False;29:07;Friday, March 19th, 8:00 PM CET;FEL Valorant Cup #2;url.net;
Defense;W;STAGA;Bind;STAGA;nausea;ZIGITARES;synsi;Mukke;Vilperi;13:5;False;33:11;Friday, March 19th, 8:00 PM CET;FEL Valorant Cup #2;url.net;
