starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Purple Cobras;Bind;ROG Esport;TiduS;mikee;MateliaN;GatsH;Uzzziii;11:13;False;49:42;Sunday, October 11th, 11:00 AM CEST;epic31 Online;https://www.twitch.tv/videos/767139229?t=0h22m20s;
Defense;L;Purple Cobras;Ascent;ROG Esport;TiduS;mikee;MateliaN;GatsH;Uzzziii;12:14;True;57:16;Sunday, October 11th, 11:00 AM CEST;epic31 Online;https://www.twitch.tv/videos/767139229?t=0h22m20s;
Defense;W;FeaFeaFea;Haven;Decider;GatsH;MateliaN;TiduS;mikee;Uzzziii;13:10;False;46:56;Monday, October 26th, 9:30 PM CET;Drop the Spike;https://www.twitch.tv/videos/782549134?t=3h14m57s;
Attack;L;alltheRAGE;Bind;Decider;MateliaN;GatsH;TiduS;Uzzziii;mikee;10:13;False;40:51;Monday, October 26th, 10:30 PM CET;Drop the Spike;https://www.twitch.tv/videos/782549134?t=4h14m49s;
Defense;L;MJAOMODE;Haven;Decider;MateliaN;TiduS;mikee;GatsH;Uzzziii;6:13;False;37:19;Tuesday, November 10th, 6:15 PM CET;First Strike: Europe;https://www.twitch.tv/videos/798141484?t=1h31m7s;
Attack;L;Valorando;Haven;Decider;GatsH;MateliaN;TiduS;mikee;Redziki;12:14;True;54:52;Wednesday, November 11th, 6:00 PM CET;First Strike: Europe;url.net;
Attack;W;YAZDA;Split;Decider;GatsH;TiduS;MateliaN;Redziki;mikee;13:5;False;36:32;Thursday, November 19th, 5:00 PM CET;First Strike: Europe;url.net;
Attack;W;Team Toxic;Ascent;Decider;GatsH;MateliaN;mikee;TiduS;Redziki;17:15;True;1:11:32;Thursday, November 19th, 6:00 PM CET;First Strike: Europe;url.net;
Defense;L;need more DM;Ascent;Decider;GatsH;TiduS;mikee;Redziki;MateliaN;3:13;False;32:26;Friday, November 20th, 5:00 PM CET;First Strike: Europe;url.net;
Attack;W;Yendez;Ascent;Decider;TiduS;GatsH;mikee;MateliaN;Maruh;13:7;False;38:22;Friday, November 27th, 8:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/817572030?t=0h48m26s;
Defense;L;DfuseTeam;Haven;Decider;MateliaN;GatsH;mikee;TiduS;Maruh;11:13;False;44:16;Friday, November 27th, 9:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/817572030?t=1h46m52s;
Attack;W;Souldazz;Ascent;Decider;Maruh;mikee;MateliaN;TiduS;GatsH;13:9;False;44:03;Friday, November 27th, 11:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/817572030?t=3h46m13s;
Defense;W;L'institut;Split;L'institut;GatsH;MateliaN;mikee;NRK;TiduS;13:9;False;41:54;Sunday, November 29th, 6:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/819771766?t=02h26m36s;
Defense;L;L'institut;Haven;ROG Esport;GatsH;MateliaN;mikee;NRK;TiduS;11:13;False;45:51;Sunday, November 29th, 6:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/819771766?t=02h26m36s;
Defense;W;L'institut;Bind;ROG Esport;GatsH;MateliaN;mikee;NRK;TiduS;13:11;False;49:50;Sunday, November 29th, 6:00 PM CET;Underdogs #2;https://www.twitch.tv/videos/819771766?t=02h26m36s;
Defense;L;DfuseTeam;Split;DfuseTeam;GatsH;mikee;NRK;TiduS;MateliaN;4:13;False;30:47;Sunday, November 29th, 9:15 PM CET;Underdogs #2;https://www.twitch.tv/videos/819771766?t=05h41m10s;
Attack;L;DfuseTeam;Ascent;ROG Esport;GatsH;mikee;NRK;TiduS;MateliaN;5:13;False;36:48;Sunday, November 29th, 9:15 PM CET;Underdogs #2;https://www.twitch.tv/videos/819771766?t=05h41m10s;
Attack;W;TIMETOPLAY;Split;Decider;GatsH;MateliaN;TiduS;mikee;PetitSkel;13:8;False;43:39;Friday, December 18th, 8:30 PM CET;Underdogs #3;https://www.twitch.tv/videos/841792622?t=1h34m34s;
Defense;L;Cave Canem;Split;Decider;PetitSkel;GatsH;MateliaN;mikee;TiduS;5:13;False;34:27;Friday, December 18th, 9:15 PM CET;Underdogs #3;https://www.twitch.tv/videos/841792622?t=2h35m3s;
Attack;W;Miracles;Split;Decider;TiduS;GatsH;MateliaN;mikee;PetitSkel;13:5;False;33:40;Friday, December 18th, 11:15 PM CET;Underdogs #3;url.net;
Attack;L;DfuseTeam;Ascent;ROG Esport;PetitSkel;GatsH;TiduS;MateliaN;mikee;11:13;False;47:33;Sunday, December 20th, 7:00 PM CET;Underdogs #3;https://www.twitch.tv/videos/844026489?t=3h15m25s;
Defense;L;DfuseTeam;Split;ROG Esport;PetitSkel;GatsH;TiduS;MateliaN;mikee;9:13;False;39:03;Sunday, December 20th, 7:00 PM CET;Underdogs #3;https://www.twitch.tv/videos/844026489?t=3h15m25s;
