starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;SPARX ESPORTS;Bind;Decider;B1SK;steady;Tian;valder;volod9;13:15;True;54:56;Sunday, September 6th, 4:00 PM CEST;GLX Elite Series;url.net;
Attack;L;Vandal Only;Bind;Decider;valder;Duno;steady;B1SK;falltw;8:13;False;40:28;Monday, September 21st, 6:00 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/747835432?t=0h19m9s;
Attack;W;flawless;Haven;Decider;falltw;valder;steady;B1SK;Duno;13:5;False;40:27;Monday, September 28th, 6:00 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/754629446?t=0h25m55s;
Attack;L;Entropiq;Haven;Decider;B1SK;steady;valder;Duno;falltw;4:13;False;31:19;Tuesday, September 29th, 6:00 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/755574154?t=0h19m30s;
Attack;W;AERIS;Ascent;Decider;B1SK;falltw;valder;Duno;steady;13:6;False;33:25;Monday, October 5th, 4:00 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761353108?t=0h20m29s;
Defense;W;Eloquence;Haven;Decider;B1SK;falltw;valder;Duno;steady;13:8;False;43:00;Monday, October 5th, 5:35 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761346793?t=1h36m22s;
Defense;W;Eloquence;Bind;Eloquence;Duno;valder;B1SK;falltw;steady;13:6;False;37:41;Monday, October 5th, 7:30 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761346793?t=3h42m6s;
Defense;L;Eloquence;TBD;Eloquence;Duno;valder;B1SK;falltw;steady;0:0;False;-;Monday, October 5th, 7:30 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761346793?t=3h42m6s;
Defense;L;nolpenki;Split;nolpenki;B1SK;falltw;valder;Duno;steady;7:13;False;37:23;Friday, October 9th, 8:45 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/765251894?t=2h50m58s;
Attack;W;nolpenki;Bind;ROX TEAM;B1SK;falltw;valder;Duno;steady;14:12;True;51:52;Friday, October 9th, 8:45 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/765251894?t=2h50m58s;
Attack;L;nolpenki;Ascent;ROX TEAM;B1SK;falltw;valder;Duno;steady;11:13;False;45:11;Friday, October 9th, 8:45 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/765251894?t=2h50m58s;
Defense;L;Prodigy;Bind;ROX TEAM;falltw;valder;B1SK;steady;Duno;12:14;True;55:21;Saturday, October 10th, 4:15 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/766237306?t=00h21m11s;
Attack;L;Prodigy;Ascent;ROX TEAM;falltw;valder;B1SK;steady;Duno;6:13;False;40:28;Saturday, October 10th, 4:15 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/766237306?t=00h21m11s;
Defense;L;flawless;Bind;ROX TEAM;falltw;Duno;valder;steady;B1SK;10:13;False;49:05;Saturday, October 10th, 6:15 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/766320330?t=0h28m33s;
Attack;W;flawless;Ascent;ROX TEAM;falltw;Duno;valder;steady;B1SK;13:10;False;46:53;Saturday, October 10th, 6:15 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/766320330?t=0h28m33s;
Attack;W;flawless;Haven;ROX TEAM;falltw;Duno;valder;steady;B1SK;14:12;True;58:08;Saturday, October 10th, 6:15 PM CEST;TOURSTAT Summer Clash;https://www.twitch.tv/videos/766320330?t=0h28m33s;
Defense;L;Entropiq;Ascent;ROX TEAM;falltw;B1SK;Duno;valder;steady;4:13;False;30:50;Sunday, October 11th, 5:00 PM CEST;TOURSTAT Summer Clash;url.net;
Attack;L;Entropiq;Bind;ROX TEAM;falltw;B1SK;Duno;valder;steady;8:13;False;42:28;Sunday, October 11th, 5:00 PM CEST;TOURSTAT Summer Clash;url.net;
Attack;L;Oxygen Esports;Bind;Oxygen Esports;B1SK;falltw;Duno;steady;valder;8:13;False;39:37;Wednesday, October 14th, 5:00 PM CEST;Valorant Challenge 2;url.net;
Defense;L;Oxygen Esports;Ascent;Oxygen Esports;B1SK;falltw;Duno;steady;valder;8:13;False;41:31;Wednesday, October 14th, 5:00 PM CEST;Valorant Challenge 2;url.net;
Defense;L;nolpenki;Haven;nolpenki;valder;steady;B1SK;Duno;falltw;5:13;False;35:43;Thursday, October 15th, 7:00 PM CEST;Valorant Challenge 2;url.net;
Defense;L;nolpenki;Ascent;nolpenki;valder;steady;B1SK;Duno;falltw;3:13;False;30:24;Thursday, October 15th, 7:00 PM CEST;Valorant Challenge 2;url.net;
Defense;L;Dambis;Haven;Dambis;B1SK;Duno;steady;valder;falltw;6:13;False;33:24;Thursday, October 15th, 9:00 PM CEST;Valorant Challenge 2;url.net;
Defense;W;Dambis;Ascent;Decider;B1SK;Duno;steady;valder;falltw;13:4;False;32:12;Thursday, October 15th, 9:00 PM CEST;Valorant Challenge 2;url.net;
Defense;W;VIVIFY ESPORT;Bind;ROX TEAM;B1SK;valder;falltw;Duno;steady;13:2;False;30:04;Tuesday, November 10th, 4:00 PM CET;First Strike: CIS;url.net;
Defense;W;VIVIFY ESPORT;Haven;ROX TEAM;B1SK;valder;falltw;Duno;steady;13:7;False;39:41;Tuesday, November 10th, 4:00 PM CET;First Strike: CIS;url.net;
Defense;W;Vengeance;Haven;Vengeance;B1SK;Duno;falltw;valder;steady;13:5;False;33:50;Friday, November 13th, 4:00 PM CET;First Strike: CIS;url.net;
Attack;W;Vengeance;Bind;Vengeance;B1SK;Duno;falltw;valder;steady;13:5;False;36:43;Friday, November 13th, 4:00 PM CET;First Strike: CIS;url.net;
Defense;L;5MOKES;Haven;5MOKES;valder;B1SK;falltw;Duno;steady;3:13;False;31:38;Saturday, November 14th, 4:00 PM CET;First Strike: CIS;url.net;
Attack;W;5MOKES;Ascent;5MOKES;valder;B1SK;falltw;Duno;steady;13:3;False;31:37;Saturday, November 14th, 4:00 PM CET;First Strike: CIS;url.net;
Attack;W;5MOKES;Bind;5MOKES;valder;B1SK;falltw;Duno;steady;13:11;False;44:08;Saturday, November 14th, 4:00 PM CET;First Strike: CIS;url.net;
