starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;God Particles;Haven;God Particles;TeFLoNMiKE;ayaNq;Razzor;Ri0;BRZ;13:9;False;56:24;Wednesday, November 4th, 12:30 PM CET;NODWIN Agni Series;url.net;
Defense;W;God Particles;Ascent;Reckoning Esports;TeFLoNMiKE;ayaNq;Razzor;Ri0;BRZ;13:7;False;45:35;Wednesday, November 4th, 12:30 PM CET;NODWIN Agni Series;url.net;
Attack;L;Velocity Gaming;Ascent;Velocity Gaming;Razzor;TeFLoNMiKE;Ri0;BRZ;ayaNq;9:13;False;38:52;Wednesday, November 4th, 6:00 PM CET;NODWIN Agni Series;url.net;
Defense;L;Velocity Gaming;Split;Velocity Gaming;Razzor;TeFLoNMiKE;Ri0;BRZ;ayaNq;5:13;False;35:23;Wednesday, November 4th, 6:00 PM CET;NODWIN Agni Series;url.net;
Defense;L;Noble India;Haven;Noble India;ayaNq;TeFLoNMiKE;Razzor;BRZ;Ri0;11:13;False;53:46;Saturday, November 7th, 12:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=wRZBAPXqXHg;
Attack;L;Noble India;Ascent;Noble India;ayaNq;TeFLoNMiKE;Razzor;BRZ;Ri0;2:13;False;30:24;Saturday, November 7th, 12:30 PM CET;Valorant Warfare;https://www.youtube.com/watch?v=wRZBAPXqXHg;
Attack;L;AtmosFear;Haven;AtmosFear;ayaNq;Razzor;tryst;Ri0;clouda;11:13;False;49:58;Monday, December 21st, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Defense;L;AtmosFear;Split;AtmosFear;ayaNq;Razzor;tryst;Ri0;clouda;8:13;False;41:39;Monday, December 21st, 11:30 AM CET;The Esports Club Challenger Series 2020;url.net;
Attack;L;Global Esports;Ascent;Reckoning Esports;ayaNq;Ri0;clouda;tryst;Razzor;9:13;False;43:10;Monday, January 11th, 11:30 AM CET;The Esports Club Invitational;url.net;
Defense;L;Global Esports;Icebox;Reckoning Esports;ayaNq;Ri0;clouda;tryst;Razzor;4:13;False;31:52;Monday, January 11th, 11:30 AM CET;The Esports Club Invitational;url.net;
Attack;W;Ah yeah gaming;Haven;Reckoning Esports;Razzor;ayaNq;clouda;Ri0;tryst;13:6;False;47:21;Wednesday, January 13th, 1:30 PM CET;The Esports Club Invitational;url.net;
Defense;W;Ah yeah gaming;Ascent;Reckoning Esports;Razzor;ayaNq;clouda;Ri0;tryst;13:11;False;42:33;Wednesday, January 13th, 1:30 PM CET;The Esports Club Invitational;url.net;
Defense;W;VPG Headhunters;Ascent;Decider;PanzeR;Jiren;tryst;L0sttt;BRZ;13:10;False;45:20;Thursday, June 3rd, 5:30 PM CEST;Rooter Rise of Legends;https://youtu.be/gVGgIUc9-Bw?t=11093;
Defense;L;Samurai Esports;Haven;Decider;L0sttt;PanzeR;Jiren;BRZ;tryst;10:13;False;45:41;Friday, June 4th, 6:40 PM CEST;Rooter Rise of Legends;url.net;
Defense;L;Union Gaming;Haven;Decider;L0sttt;BRZ;PanzeR;Jiren;tryst;7:13;False;38:12;Saturday, June 5th, 4:30 PM CEST;Rooter Rise of Legends;url.net;
Attack;L;GodLike Esports;Haven;Reckoning Esports;L0sttt;PanzeR;Jiren;BRZ;tryst;9:13;False;42:58;Sunday, June 6th, 11:30 AM CEST;Lethal Esports Invitational - Season 1;https://youtu.be/L4fnSzlzGx8?t=9737;
Defense;L;GodLike Esports;Bind;Reckoning Esports;L0sttt;PanzeR;Jiren;BRZ;tryst;8:13;False;43:09;Sunday, June 6th, 11:30 AM CEST;Lethal Esports Invitational - Season 1;https://youtu.be/L4fnSzlzGx8?t=9737;
Defense;L;TempesT;Ascent;TempesT;L0sttt;PanzeR;tryst;Jiren;BRZ;5:13;False;35:31;Tuesday, June 8th, 2:30 PM CEST;Lethal Esports Invitational - Season 1;https://youtu.be/RZlT3y2VcMQ?t=11684;
Attack;L;TempesT;Haven;TempesT;L0sttt;PanzeR;tryst;Jiren;BRZ;2:13;False;27:49;Tuesday, June 8th, 2:30 PM CEST;Lethal Esports Invitational - Season 1;https://youtu.be/RZlT3y2VcMQ?t=11684;
Defense;L;Global Esports;Split;Decider;L0sttt;PanzeR;tryst;Jiren;BRZ;6:13;False;33:56;Friday, June 11th, 4:15 PM CEST;Penta Esports Invitational;url.net;
Defense;L;Team Cohesion;Bind;Team Cohesion;JN;BondF;tryst;JuveNN;PanzeR;9:13;False;46:13;Friday, September 3rd, 10:30 AM CEST;Yuvin Valorant Invitational Cup;url.net;
Defense;L;Team Cohesion;Haven;Team Cohesion;JN;BondF;tryst;JuveNN;PanzeR;10:13;False;49:46;Friday, September 3rd, 10:30 AM CEST;Yuvin Valorant Invitational Cup;url.net;
Attack;W;Velocity Gaming;Haven;Velocity Gaming;tryst;PanzeR;JN;BondF;JuveNN;14:12;True;41:21;Wednesday, September 8th, 5:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Attack;W;Velocity Gaming;Ascent;Velocity Gaming;tryst;PanzeR;JN;BondF;JuveNN;13:10;False;39:52;Wednesday, September 8th, 5:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Defense;W;True Rippers;Haven;True Rippers;BondF;JN;JuveNN;PanzeR;tryst;13:5;False;31:06;Sunday, September 26th, 4:30 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Attack;W;True Rippers;Ascent;True Rippers;BondF;JN;JuveNN;PanzeR;tryst;13:11;False;44:00;Sunday, September 26th, 4:30 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Defense;L;Team XO;Split;Team XO;JN;JuveNN;tryst;BondF;PanzeR;3:13;False;32:04;Wednesday, September 29th, 1:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Attack;L;Team XO;Haven;Team XO;JN;JuveNN;tryst;BondF;PanzeR;7:13;False;33:28;Wednesday, September 29th, 1:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Defense;W;Enigma Gaming;Bind;Enigma Gaming;PanzeR;JN;tryst;BondF;JuveNN;13:7;False;37:33;Thursday, September 30th, 5:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
Attack;W;Enigma Gaming;Ascent;Enigma Gaming;PanzeR;JN;tryst;BondF;JuveNN;13:10;False;34:44;Thursday, September 30th, 5:00 PM CEST;The Esports Club Gauntlet - Season 2;url.net;
