starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;Spacestation Gaming;Ascent;Decider;Spirit;wubby;FIN;leak;d1msumboi;11:13;False;43:39;Saturday, December 26th, 7:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;L;TradeLikePros Gold;Haven;TradeLikePros Gold;wubby;Spirit;leak;d1msumboi;FIN;10:13;False;37:31;Saturday, December 26th, 8:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;L;TradeLikePros Gold;Split;TradeLikePros Gold;wubby;Spirit;leak;d1msumboi;FIN;10:13;False;41:38;Saturday, December 26th, 8:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;W;YFP Gaming;Haven;Decider;wubby;leak;FIN;d1msumboi;Aloka;16:14;True;59:01;Saturday, January 2nd, 11:00 PM CET;Nerd Street Gamers January Open;url.net;
Attack;W;calclub-p;Haven;Resonate;wubby;leak;Aloka;d1msumboi;FIN;13:10;False;40:51;Sunday, January 3rd, 12:30 AM CET;Nerd Street Gamers January Open;url.net;
Attack;L;calclub-p;Ascent;Resonate;wubby;leak;Aloka;d1msumboi;FIN;10:13;False;48:47;Sunday, January 3rd, 12:30 AM CET;Nerd Street Gamers January Open;url.net;
Defense;W;calclub-p;Split;Resonate;wubby;leak;Aloka;d1msumboi;FIN;15:13;True;54:34;Sunday, January 3rd, 12:30 AM CET;Nerd Street Gamers January Open;url.net;
Defense;L;PROJEKT RADIANT;Ascent;PROJEKT RADIANT;wubby;FIN;Aloka;leak;d1msumboi;3:13;False;27:56;Sunday, January 3rd, 8:00 PM CET;Nerd Street Gamers January Open;url.net;
Attack;L;PROJEKT RADIANT;Haven;Resonate;wubby;FIN;Aloka;leak;d1msumboi;9:13;False;41:32;Sunday, January 3rd, 8:00 PM CET;Nerd Street Gamers January Open;url.net;
Defense;W;Headshot Percentage;Haven;Decider;leak;wubby;Aloka;FIN;d1msumboi;13:5;False;30:29;Sunday, January 3rd, 11:00 PM CET;Nerd Street Gamers January Open;url.net;
Attack;L;PROJEKT RADIANT;Haven;Resonate;leak;d1msumboi;FIN;wubby;Aloka;3:13;False;26:24;Monday, January 4th, 12:00 AM CET;Nerd Street Gamers January Open;url.net;
Defense;L;PROJEKT RADIANT;Ascent;PROJEKT RADIANT;leak;d1msumboi;FIN;wubby;Aloka;8:13;False;39:01;Monday, January 4th, 12:00 AM CET;Nerd Street Gamers January Open;url.net;
Attack;L;On The Way;Ascent;Decider;leak;pao;wubby;intox;FIN;8:13;False;37:50;Monday, January 11th, 4:30 AM CET;Valorant Sunday Showdown #38;url.net;
Attack;L;Andbox;Ascent;Resonate;xeboda;bru;contii;leak;kingston;2:13;False;23:53;Friday, April 2nd, 1:30 AM CEST;Champions Tour North America Stage 2: Challengers 1;url.net;
Defense;W;Andbox;Split;Resonate;xeboda;bru;contii;leak;kingston;13:11;False;48:07;Friday, April 2nd, 1:30 AM CEST;Champions Tour North America Stage 2: Challengers 1;url.net;
