starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;NerdTown eSport;Haven;Decider;frei;Luzuh;otom;rCk;LATEKS;0:0;False;-;Saturday, January 23rd, 3:15 PM CET;Red Bull Home Ground;https://www.twitch.tv/videos/884843632?t=00h59m37s;
Defense;L;MAJSTERSZTYK;Bind;Decider;otom;LATEKS;Luzuh;rCk;frei;12:14;True;51:48;Saturday, January 23rd, 4:45 PM CET;Red Bull Home Ground;url.net;
Attack;L;G2 Esports;Bind;Rix.GG Thunder;Luzuh;otom;LATEKS;rCk;frei;5:13;False;32:19;Friday, February 5th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 1;url.net;
Defense;L;G2 Esports;Split;Rix.GG Thunder;Luzuh;otom;LATEKS;rCk;frei;2:13;False;25:43;Friday, February 5th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 1;url.net;
Attack;W;Sophie's children;Bind;Rix.GG Thunder;Luzuh;rCk;otom;frei;LATEKS;13:7;False;38:56;Tuesday, February 16th, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;W;Sophie's children;Split;Rix.GG Thunder;Luzuh;rCk;otom;frei;LATEKS;13:11;False;43:17;Tuesday, February 16th, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;L;G2 Esports;Bind;G2 Esports;otom;Luzuh;rCk;frei;LATEKS;11:13;False;44:33;Wednesday, February 17th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Attack;L;G2 Esports;Split;G2 Esports;otom;Luzuh;rCk;frei;LATEKS;6:13;False;40:18;Wednesday, February 17th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Attack;W;Edelweiss Esports;Bind;Edelweiss Esports;rCk;otom;Luzuh;frei;LATEKS;13:11;False;46:30;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Defense;L;Edelweiss Esports;Split;Edelweiss Esports;rCk;otom;Luzuh;frei;LATEKS;9:13;False;43:55;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Defense;W;Edelweiss Esports;Ascent;Edelweiss Esports;rCk;otom;Luzuh;frei;LATEKS;13:8;False;44:36;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Defense;L;Wave Esports;Haven;Rix.GG Thunder;Luzuh;otom;rCk;LATEKS;frei;8:13;False;41:56;Saturday, February 27th, 6:00 PM CET;epic32 Online;url.net;
Attack;L;Wave Esports;Bind;Rix.GG Thunder;Luzuh;otom;rCk;LATEKS;frei;10:13;False;47:14;Saturday, February 27th, 6:00 PM CET;epic32 Online;url.net;
Attack;L;keepYOURskill;Ascent;keepYOURskill;Luzuh;otom;LATEKS;frei;rCk;7:13;False;42:48;Sunday, February 28th, 11:00 AM CET;epic32 Online;url.net;
Defense;W;keepYOURskill;Split;keepYOURskill;Luzuh;otom;LATEKS;frei;rCk;13:3;False;32:31;Sunday, February 28th, 11:00 AM CET;epic32 Online;url.net;
Defense;W;keepYOURskill;Haven;keepYOURskill;Luzuh;otom;LATEKS;frei;rCk;16:14;True;54:47;Sunday, February 28th, 11:00 AM CET;epic32 Online;url.net;
Defense;W;volvo peek;Ascent;Rix.GG Thunder;otom;LATEKS;rCk;frei;Luzuh;13:7;False;39:58;Sunday, February 28th, 2:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931605101?t=3h23m34s;
Attack;L;volvo peek;Bind;Rix.GG Thunder;otom;LATEKS;rCk;frei;Luzuh;11:13;False;47:19;Sunday, February 28th, 2:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931605101?t=3h23m34s;
Attack;W;volvo peek;Split;Rix.GG Thunder;otom;LATEKS;rCk;frei;Luzuh;13:7;False;42:11;Sunday, February 28th, 2:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931605101?t=3h23m34s;
Defense;L;Wave Esports;Haven;Wave Esports;frei;otom;LATEKS;rCk;Luzuh;8:13;False;39:45;Sunday, February 28th, 8:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931945250?t=2h7m54s;
Defense;L;Wave Esports;Icebox;Rix.GG Thunder;frei;otom;LATEKS;rCk;Luzuh;6:13;False;35:39;Sunday, February 28th, 8:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931945250?t=2h7m54s;
Attack;L;Wave Esports;Ascent;Rix.GG Thunder;frei;otom;LATEKS;rCk;Luzuh;12:14;True;54:05;Sunday, February 28th, 8:00 PM CET;epic32 Online;https://www.twitch.tv/videos/931945250?t=2h7m54s;
Attack;L;Cream Real Betis;Bind;Rix.GG Thunder;rCk;Luzuh;otom;LATEKS;frei;13:15;True;1:02:22;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Defense;W;Cream Real Betis;Haven;Rix.GG Thunder;rCk;Luzuh;otom;LATEKS;frei;13:8;False;36:48;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;W;Cream Real Betis;Split;Rix.GG Thunder;rCk;Luzuh;otom;LATEKS;frei;14:12;True;53:29;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;W;Team Liquid;Bind;Rix.GG Thunder;frei;LATEKS;otom;Luzuh;rCk;13:4;False;36:41;Wednesday, March 3rd, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Defense;L;Team Liquid;Ascent;Rix.GG Thunder;frei;LATEKS;otom;Luzuh;rCk;8:13;False;43:24;Wednesday, March 3rd, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;W;Team Liquid;Split;Rix.GG Thunder;frei;LATEKS;otom;Luzuh;rCk;16:14;True;1:00:51;Wednesday, March 3rd, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;W;Raise Your Edge;Bind;Rix.GG Thunder;frei;LATEKS;otom;Luzuh;rCk;13:11;False;50:26;Friday, March 5th, 7:50 PM CET;Champions Tour Europe Stage 1: Challengers 3;https://www.twitch.tv/videos/937905144?t=2h51m40s;
Defense;L;Raise Your Edge;Ascent;Raise Your Edge;frei;LATEKS;otom;Luzuh;rCk;12:14;True;47:17;Friday, March 5th, 7:50 PM CET;Champions Tour Europe Stage 1: Challengers 3;https://www.twitch.tv/videos/937905144?t=2h51m40s;
Attack;L;Raise Your Edge;Haven;Rix.GG Thunder;frei;LATEKS;otom;Luzuh;rCk;6:13;False;36:57;Friday, March 5th, 7:50 PM CET;Champions Tour Europe Stage 1: Challengers 3;https://www.twitch.tv/videos/937905144?t=2h51m40s;
Defense;W;EXCEL;Split;EXCEL;otom;rCk;LATEKS;frei;Luzuh;13:9;False;44:13;Wednesday, March 31st, 6:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Attack;W;EXCEL;Bind;EXCEL;otom;rCk;LATEKS;frei;Luzuh;13:8;False;45:18;Wednesday, March 31st, 6:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Attack;W;Finest;Bind;Rix.GG Thunder;frei;otom;Luzuh;LATEKS;rCk;13:7;False;35:32;Wednesday, March 31st, 8:35 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Defense;W;Finest;Ascent;Rix.GG Thunder;frei;otom;Luzuh;LATEKS;rCk;13:6;False;35:42;Wednesday, March 31st, 8:35 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Defense;L;Team Heretics;Icebox;Team Heretics;LATEKS;otom;rCk;frei;Luzuh;1:13;False;24:54;Thursday, April 1st, 6:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Attack;L;Team Heretics;Ascent;Rix.GG Thunder;LATEKS;otom;rCk;frei;Luzuh;4:13;False;31:55;Thursday, April 1st, 6:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Defense;L;HEET;Bind;Rix.GG Thunder;Luzuh;rCk;frei;LATEKS;otom;10:13;False;49:32;Sunday, April 11th, 9:30 PM CEST;Champions Tour Europe Stage 2: Challengers 2;url.net;
Defense;L;HEET;Ascent;HEET;Luzuh;rCk;frei;LATEKS;otom;7:13;False;36:54;Sunday, April 11th, 9:30 PM CEST;Champions Tour Europe Stage 2: Challengers 2;url.net;
Defense;W;AREA;Split;Decider;frei;otom;Mickebwoy;LATEKS;comet;13:11;False;53:39;Monday, June 7th, 11:00 PM CEST;VALORANT UK & I Skirmish;https://www.twitch.tv/videos/1048823823?t=03h55m49s;
Defense;L;TENSTAR;Split;Decider;Mickebwoy;frei;LATEKS;Luzuh;otom;7:13;False;45:32;Wednesday, June 9th, 7:00 PM CEST;VALORANT UK & I Skirmish;https://www.twitch.tv/videos/1050884039?t=0h50m22s;
