starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Cloud9 White;Ascent;Decider;Shora;Neprix;ban;Rickabonkers;trisk;13:6;False;36:25;Saturday, November 28th, 7:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Defense;L;ex-Serenity;Haven;ex-Serenity;ban;Shora;trisk;Neprix;Rickabonkers;5:13;False;31:21;Sunday, November 29th, 1:30 AM CET;Nerd Street Gamers November Monthly;url.net;
Attack;L;ex-Serenity;Bind;ex-Serenity;ban;Shora;trisk;Neprix;Rickabonkers;3:13;False;29:47;Sunday, November 29th, 1:30 AM CET;Nerd Street Gamers November Monthly;url.net;
Defense;W;TradeLikePros Gold;Bind;TradeLikePros Gold;trisk;flavor;Shora;ban;Neprix;13:4;False;31:19;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;url.net;
Attack;W;TradeLikePros Gold;Icebox;TradeLikePros Gold;trisk;flavor;Shora;ban;Neprix;13:3;False;25:20;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;url.net;
Attack;W;Take Flyte;Ascent;Roosters;trisk;ban;flavor;Neprix;Shora;13:11;False;42:04;Saturday, January 2nd, 11:15 PM CET;Serenity Invitational;url.net;
Defense;L;Take Flyte;Haven;Roosters;trisk;ban;flavor;Neprix;Shora;7:13;False;40:45;Saturday, January 2nd, 11:15 PM CET;Serenity Invitational;url.net;
Defense;L;Take Flyte;Bind;Roosters;trisk;ban;flavor;Neprix;Shora;6:13;False;34:05;Saturday, January 2nd, 11:15 PM CET;Serenity Invitational;url.net;
Defense;W;ANEW Esports;Ascent;Decider;ban;trisk;Neprix;Shora;flavor;13:5;False;33:01;Monday, January 4th, 3:00 AM CET;Valorant Sunday Showdown #37;url.net;
Defense;W;DREAMLAND;Bind;Decider;ban;Neprix;trisk;Shora;flavor;13:5;False;36:28;Monday, January 4th, 4:00 AM CET;Valorant Sunday Showdown #37;url.net;
Defense;W;Hollywood Hooliganz;Ascent;Roosters;trisk;ban;flavor;Shora;Neprix;13:10;False;47:00;Monday, January 4th, 5:20 AM CET;Valorant Sunday Showdown #37;https://www.twitch.tv/videos/860178293?t=8h10m53s;
Attack;W;Hollywood Hooliganz;Icebox;Roosters;trisk;ban;flavor;Shora;Neprix;13:8;False;34:41;Monday, January 4th, 5:20 AM CET;Valorant Sunday Showdown #37;https://www.twitch.tv/videos/860178293?t=8h10m53s;
Defense;L;Big Frames;Bind;Decider;Neprix;trisk;ban;flavor;Shora;2:13;False;24:23;Monday, January 11th, 4:30 AM CET;Valorant Sunday Showdown #38;https://www.twitch.tv/videos/869162690?t=2h9m2s;
Attack;L;Complexity;Bind;Decider;ban;flavor;trisk;West;Shora;11:13;False;46:16;Saturday, January 23rd, 7:00 PM CET;Knights Monthly Gauntlet: January;url.net;
Defense;L;Demon Time;Icebox;Decider;flavor;trisk;ban;Shora;West;15:17;True;58:17;Saturday, January 23rd, 8:15 PM CET;Knights Monthly Gauntlet: January;url.net;
Defense;L;Slimy Boogermen;Ascent;Decider;flavor;ban;trisk;Shora;Neprix;10:13;False;44:28;Saturday, January 23rd, 9:30 PM CET;Knights Monthly Gauntlet: January;url.net;
Attack;W;ex-Phoenix1;Bind;ex-Phoenix1;ban;Neprix;trisk;flavor;Shora;13:9;False;42:16;Thursday, January 28th, 3:45 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;L;ex-Phoenix1;Icebox;ex-Phoenix1;ban;Neprix;trisk;flavor;Shora;9:13;False;38:13;Thursday, January 28th, 3:45 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;W;ex-Phoenix1;Ascent;ex-Phoenix1;ban;Neprix;trisk;flavor;Shora;13:6;False;33:35;Thursday, January 28th, 3:45 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;L;Envy;Bind;Envy;trisk;Shora;ban;flavor;Neprix;5:13;False;33:01;Friday, January 29th, 1:00 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;L;Envy;Ascent;Roosters;trisk;Shora;ban;flavor;Neprix;9:13;False;41:46;Friday, January 29th, 1:00 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
