starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;LGD Gaming;Ascent;Decider;Miracle;coldfish;shuaishuai;nobody;TryTryz;13:4;False;31:32;Saturday, September 5th, 11:00 AM CEST;Huya Summer Festival;url.net;
Defense;W;My Queen;Ascent;Decider;TryTryz;Miracle;coldfish;nobody;shuaishuai;13:7;False;38:50;Saturday, September 5th, 11:30 AM CEST;Huya Summer Festival;url.net;
Attack;W;Infantry;Ascent;Decider;Miracle;coldfish;nobody;TryTryz;shuaishuai;13:5;False;35:37;Saturday, September 5th, 12:30 PM CEST;Huya Summer Festival;url.net;
Attack;W;TYLOO;Ascent;TYLOO;TryTryz;nobody;shuaishuai;SORRYMYBAD;coldfish;13:5;False;37:32;Sunday, September 13th, 12:30 PM CEST;Huya Summer Festival;url.net;
Defense;L;TYLOO;Haven;TYLOO;TryTryz;nobody;shuaishuai;SORRYMYBAD;coldfish;8:13;False;47:58;Sunday, September 13th, 12:30 PM CEST;Huya Summer Festival;url.net;
Defense;W;TYLOO;Ascent;TYLOO;TryTryz;nobody;shuaishuai;SORRYMYBAD;coldfish;13:5;False;25:31;Sunday, September 13th, 12:30 PM CEST;Huya Summer Festival;url.net;
Defense;W;TYLOO;Ascent;TYLOO;TryTryz;nobody;shuaishuai;SORRYMYBAD;coldfish;13:3;False;18:00;Sunday, September 13th, 12:30 PM CEST;Huya Summer Festival;url.net;
Attack;W;CBT Gaming;Ascent;CBT Gaming;ZmjjKK;Miracle;nobody;coldfish;shuaishuai;13:4;False;34:51;Friday, September 25th, 8:00 AM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Defense;W;CBT Gaming;Bind;CBT Gaming;ZmjjKK;Miracle;nobody;coldfish;shuaishuai;13:7;False;30:27;Friday, September 25th, 8:00 AM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Defense;W;T1 Korea;Split;T1 Korea;nobody;ZmjjKK;shuaishuai;coldfish;Miracle;13:4;False;27:57;Friday, September 25th, 2:00 PM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Attack;W;T1 Korea;Ascent;T1 Korea;nobody;ZmjjKK;shuaishuai;coldfish;Miracle;13:6;False;31:13;Friday, September 25th, 2:00 PM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Attack;W;KaiXin Esports;Haven;Royal Never Give Up;ZmjjKK;coldfish;nobody;Miracle;shuaishuai;13:6;False;41:56;Saturday, September 26th, 2:00 PM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Attack;W;KaiXin Esports;Ascent;Royal Never Give Up;ZmjjKK;coldfish;nobody;Miracle;shuaishuai;13:8;False;41:32;Saturday, September 26th, 2:00 PM CEST;Douyu Bie Zhuang Cup Season 1;url.net;
Attack;L;Vision Strikers;Haven;Royal Never Give Up;ZmjjKK;coldfish;shuaishuai;nobody;Miracle;10:13;False;46:53;Sunday, September 27th, 3:15 PM CEST;Douyu Bie Zhuang Cup Season 1;https://v.douyu.com/show/n8GzMXrAJnxv6qyP;
Attack;L;Vision Strikers;Ascent;Royal Never Give Up;ZmjjKK;coldfish;shuaishuai;nobody;Miracle;12:14;True;56:48;Sunday, September 27th, 3:15 PM CEST;Douyu Bie Zhuang Cup Season 1;https://v.douyu.com/show/n8GzMXrAJnxv6qyP;
Attack;L;Vision Strikers;TBD;Royal Never Give Up;ZmjjKK;coldfish;shuaishuai;nobody;Miracle;0:0;False;-;Sunday, September 27th, 3:15 PM CEST;Douyu Bie Zhuang Cup Season 1;https://v.douyu.com/show/n8GzMXrAJnxv6qyP;
Defense;L;Weibo Gaming;Haven;Royal Never Give Up;ZmjjKK;coldfish;nobody;Miracle;balua;10:13;False;46:04;Saturday, January 23rd, 6:00 AM CET;DouYu Bie Zhuang Cup Winter;url.net;
Attack;L;Weibo Gaming;Bind;Royal Never Give Up;ZmjjKK;coldfish;nobody;Miracle;balua;5:13;False;32:04;Saturday, January 23rd, 6:00 AM CET;DouYu Bie Zhuang Cup Winter;url.net;
