starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;5Ravens;Haven;5Ravens;Nh0zKon;Roy;Sozi;Loco;BMV;13:1;False;27:08;Tuesday, April 20th, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;W;5Ravens;Icebox;SBTC Esports;Nh0zKon;Roy;Sozi;Loco;BMV;13:3;False;27:38;Tuesday, April 20th, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;W;Steal Your Glory;Ascent;SBTC Esports;Sozi;Roy;Nh0zKon;Loco;BMV;13:6;False;40:48;Wednesday, April 21st, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Defense;L;Steal Your Glory;Bind;SBTC Esports;Sozi;Roy;Nh0zKon;Loco;BMV;7:13;False;36:49;Wednesday, April 21st, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;L;Steal Your Glory;Icebox;SBTC Esports;Sozi;Roy;Nh0zKon;Loco;BMV;9:13;False;47:11;Wednesday, April 21st, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;W;Fancy United Esports;Ascent;Fancy United Esports;BMV;Loco;Nh0zKon;Sozi;Roy;13:5;False;33:04;Thursday, April 22nd, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;W;Fancy United Esports;Haven;Fancy United Esports;BMV;Loco;Nh0zKon;Sozi;Roy;17:15;True;57:12;Thursday, April 22nd, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;L;EGO;Ascent;EGO;Sozi;BMV;Roy;Loco;Nh0zKon;7:13;False;38:48;Friday, April 23rd, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;L;EGO;Haven;SBTC Esports;Sozi;BMV;Roy;Loco;Nh0zKon;1:13;False;26:37;Friday, April 23rd, 10:00 AM CEST;Champions Tour Vietnam Stage 2: Challengers;url.net;
Attack;W;335 Cầu Giấy;Bind;Decider;Roy;BMV;Nh0zKon;Sozi;Loco;13:8;False;39:17;Saturday, May 8th, 11:00 AM CEST;ROG x ThinkPro Valorant Championship;url.net;
Attack;W;HG;Bind;Decider;Roy;Nh0zKon;BMV;Sozi;Loco;13:0;False;20:46;Saturday, May 8th, 12:00 PM CEST;ROG x ThinkPro Valorant Championship;url.net;
Attack;W;Kantic Gaming;Icebox;Decider;Sozi;Nh0zKon;Roy;BMV;Loco;13:4;False;27:17;Saturday, May 8th, 1:00 PM CEST;ROG x ThinkPro Valorant Championship;url.net;
Attack;L;EGO;Ascent;EGO;Roy;Loco;BMV;Sozi;Nh0zKon;13:15;True;51:37;Saturday, May 15th, 1:00 PM CEST;ROG x ThinkPro Valorant Championship;url.net;
Attack;L;EGO;Bind;EGO;Roy;Loco;BMV;Sozi;Nh0zKon;11:13;False;44:07;Saturday, May 15th, 1:00 PM CEST;ROG x ThinkPro Valorant Championship;url.net;
Defense;W;Fancy United Esports;Bind;SBTC Esports;Roy;Nh0zKon;BMV;Loco;Sozi;13:8;False;38:47;Sunday, May 16th, 10:00 AM CEST;ROG x ThinkPro Valorant Championship;url.net;
Attack;L;Fancy United Esports;Ascent;SBTC Esports;Roy;Nh0zKon;BMV;Loco;Sozi;1:13;False;26:08;Sunday, May 16th, 10:00 AM CEST;ROG x ThinkPro Valorant Championship;url.net;
Defense;W;Fancy United Esports;Split;SBTC Esports;Roy;Nh0zKon;BMV;Loco;Sozi;13:8;False;39:45;Sunday, May 16th, 10:00 AM CEST;ROG x ThinkPro Valorant Championship;url.net;
