starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Nora-Rengo;TBD;Decider;Sak;ryota-;Npoint;ade;marin;6:13;False;-;Saturday, June 20th, 12:15 PM CEST;RAGE Invitational;url.net;
Defense;W;REJECT;Haven;Decider;marin;ade;ryota-;Sak;Npoint;13:12;True;-;Sunday, August 2nd, 7:30 AM CEST;RAGE Japan Tournament;https://www.twitch.tv/videos/697837959?t=2h57m25s;
Attack;W;LAG Gaming;Bind;Decider;Sak;ryota-;Npoint;ade;marin;13:9;False;-;Sunday, August 2nd, 10:50 AM CEST;RAGE Japan Tournament;url.net;
Attack;L;Absolute JUPITER;Haven;SCARZ;ryota-;marin;ade;Npoint;Sak;5:13;False;-;Sunday, August 2nd, 1:10 PM CEST;RAGE Japan Tournament;url.net;
Attack;L;Absolute JUPITER;Split;SCARZ;ryota-;marin;ade;Npoint;Sak;5:13;False;-;Sunday, August 2nd, 1:10 PM CEST;RAGE Japan Tournament;url.net;
Defense;L;Absolute JUPITER;Ascent;Decider;ryota-;Sak;marin;ade;Npoint;4:13;False;-;Thursday, August 20th, 12:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/715889785?t=0h37m48s;
Defense;L;Connect Gaming;Ascent;Decider;ade;ryota-;Sak;marin;Npoint;11:13;False;47:43;Thursday, August 27th, 3:30 PM CEST;Mildom Masters;https://www.twitch.tv/videos/722916401?t=4h18m31s;
Attack;L;REJECT;Haven;Decider;ryota-;Sak;marin;ade;Npoint;9:13;False;37:33;Thursday, September 3rd, 12:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/729939436?t=0h37m36s;
Defense;W;Connect Gaming;Ascent;Connect Gaming;ade;ryota-;Npoint;marin;Sak;13:7;False;35:51;Friday, September 4th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/730937069?t=0h35m34s;
Defense;L;Connect Gaming;Bind;Connect Gaming;ade;ryota-;Npoint;marin;Sak;7:13;False;39:29;Friday, September 4th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/730937069?t=0h35m34s;
Defense;W;Connect Gaming;Split;Connect Gaming;ade;ryota-;Npoint;marin;Sak;13:3;False;28:29;Friday, September 4th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/730937069?t=0h35m34s;
Defense;W;CYCLOPS athlete gaming;Ascent;Decider;ade;Sak;Npoint;marin;ryota-;13:6;False;37:47;Thursday, September 10th, 1:10 PM CEST;Mildom Masters;https://www.twitch.tv/videos/736823906?t=1h44m57s;
Defense;L;Absolute JUPITER;Bind;Absolute JUPITER;ade;Sak;marin;ryota-;Npoint;8:13;False;41:45;Friday, September 11th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/737770678?t=0h40m37s;
Defense;L;Absolute JUPITER;Haven;Absolute JUPITER;ade;Sak;marin;ryota-;Npoint;2:13;False;28:55;Friday, September 11th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/737770678?t=0h40m37s;
Defense;L;BlackBird Ignis;Ascent;BlackBird Ignis;marin;Npoint;ryota-;Sak;ade;7:13;False;45:21;Monday, September 14th, 8:00 AM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;L;BlackBird Ignis;Haven;BlackBird Ignis;marin;Npoint;ryota-;Sak;ade;9:13;False;40:39;Monday, September 14th, 8:00 AM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;L;Sengoku Gaming;Haven;Decider;marin;Sak;Npoint;ade;ryota-;13:15;True;55:49;Wednesday, September 23rd, 1:10 PM CEST;Mildom Masters;https://www.twitch.tv/videos/749541585?t=1h45m8s;
Attack;L;FAV gaming;Ascent;Decider;Sak;marin;ade;Npoint;ryota-;9:13;False;39:08;Thursday, September 24th, 1:10 PM CEST;Mildom Masters;https://www.twitch.tv/videos/750499823?t=1h44m33s;
Attack;W;SunSister Rapid;Haven;Decider;marin;Npoint;ade;Sak;ryota-;13:10;False;43:50;Thursday, October 1st, 2:20 PM CEST;Mildom Masters;https://www.twitch.tv/videos/757295292?t=2h54m3s;
Attack;W;LAG Gaming;Haven;SCARZ;Npoint;ade;marin;Sak;ryota-;13:11;False;45:27;Friday, October 2nd, 9:10 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/758089672?t=3h59m41s;
Defense;W;LAG Gaming;Split;LAG Gaming;Npoint;ade;marin;Sak;ryota-;13:4;False;34:38;Friday, October 2nd, 9:10 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/758089672?t=3h59m41s;
Defense;W;Absolute JUPITER;Haven;SCARZ;marin;Npoint;Sak;ryota-;ade;13:10;False;42:04;Saturday, October 3rd, 9:00 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/759094920?t=4h3m12s;
Defense;W;Absolute JUPITER;Ascent;SCARZ;marin;Npoint;Sak;ryota-;ade;13:10;False;41:36;Saturday, October 3rd, 9:00 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/759094920?t=4h3m12s;
Defense;W;DetonatioN FocusMe;Bind;SCARZ;marin;Sak;Npoint;ryota-;ade;13:10;False;49:21;Sunday, October 4th, 9:15 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/760265507?t=0h41m12s;
Attack;W;DetonatioN FocusMe;Haven;SCARZ;marin;Sak;Npoint;ryota-;ade;15:13;True;53:48;Sunday, October 4th, 9:15 AM CEST;EDION VALORANT CUP;https://www.twitch.tv/videos/760265507?t=0h41m12s;
Attack;L;Sengoku Gaming;Ascent;Sengoku Gaming;marin;Sak;ade;Npoint;ryota-;5:13;False;35:29;Sunday, November 15th, 3:00 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=0h34m37s;
Defense;W;Sengoku Gaming;Bind;Sengoku Gaming;marin;Sak;ade;Npoint;ryota-;13:10;False;49:16;Sunday, November 15th, 3:00 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=0h34m37s;
Defense;W;Sengoku Gaming;Haven;Sengoku Gaming;marin;Sak;ade;Npoint;ryota-;13:5;False;33:31;Sunday, November 15th, 3:00 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=0h34m37s;
Defense;L;REJECT;Ascent;SCARZ;marin;Npoint;ryota-;Sak;ade;5:13;False;37:20;Thursday, December 3rd, 12:30 PM CET;First Strike: Japan;https://youtu.be/SATo2mLLWqE?t=19826;
Attack;L;REJECT;Bind;SCARZ;marin;Npoint;ryota-;Sak;ade;6:13;False;36:19;Thursday, December 3rd, 12:30 PM CET;First Strike: Japan;https://youtu.be/SATo2mLLWqE?t=19826;
Defense;W;Relaxedly;Bind;Decider;Sak;marin;Npoint;ryota-;ade;13:6;False;38:07;Tuesday, December 8th, 11:00 AM CET;UTAGE Season 2;url.net;
Defense;L;Crazy Raccoon;Split;Crazy Raccoon;Npoint;Sak;ade;ryota-;marin;12:14;True;57:46;Tuesday, December 8th, 12:30 PM CET;UTAGE Season 2;https://www.twitch.tv/videos/829874995?t=0h9m59s;
Attack;L;Crazy Raccoon;Bind;Crazy Raccoon;Npoint;Sak;ade;ryota-;marin;3:13;False;30:41;Tuesday, December 8th, 12:30 PM CET;UTAGE Season 2;https://www.twitch.tv/videos/829874995?t=0h9m59s;
Attack;W;BlackBird Ignis;Icebox;Decider;marin;ade;Npoint;ryota-;Sak;13:5;False;33:51;Sunday, December 20th, 5:15 AM CET;eGG esports G-Tune Invitational;url.net;
Attack;L;FAV gaming;Icebox;FAV gaming;ryota-;ade;Sak;Npoint;marin;3:13;False;27:56;Sunday, December 20th, 8:00 AM CET;eGG esports G-Tune Invitational;https://youtu.be/rSziZzgYb00?t=16062;
Defense;W;FAV gaming;Haven;FAV gaming;ryota-;ade;Sak;Npoint;marin;13:6;False;41:58;Sunday, December 20th, 8:00 AM CET;eGG esports G-Tune Invitational;https://youtu.be/rSziZzgYb00?t=16062;
Defense;L;FAV gaming;Ascent;FAV gaming;ryota-;ade;Sak;Npoint;marin;6:13;False;35:19;Sunday, December 20th, 8:00 AM CET;eGG esports G-Tune Invitational;https://youtu.be/rSziZzgYb00?t=16062;
Attack;L;AVALON Gaming;Icebox;Decider;ryota-;Sak;marin;Npoint;ade;2:13;False;26:35;Saturday, February 13th, 9:00 AM CET;Washu Cup #1;https://www.mildom.com/11697073;
Attack;L;Unsold Stuff Gaming;Haven;Decider;Sak;Npoint;ade;ryota-;marin;4:13;False;32:51;Saturday, February 13th, 9:00 AM CET;Washu Cup #1;https://www.mildom.com/11697073;
Defense;W;Sengoku Gaming;Haven;Decider;Sak;ade;Npoint;ryota-;marin;13:9;False;44:51;Friday, February 19th, 1:00 PM CET;Champions Tour Japan Stage 1: Challengers 1;https://www.mildom.com/playback/12287123/12287123-1613716186;
Defense;L;REJECT;Haven;REJECT;marin;Npoint;ade;ryota-;Sak;6:13;False;38:58;Saturday, February 20th, 4:00 AM CET;Champions Tour Japan Stage 1: Challengers 1;https://www.twitch.tv/videos/921085126?t=0h50m40s;
Defense;L;REJECT;Bind;SCARZ;marin;Npoint;ade;ryota-;Sak;1:13;False;30:29;Saturday, February 20th, 4:00 AM CET;Champions Tour Japan Stage 1: Challengers 1;https://www.twitch.tv/videos/921085126?t=0h50m40s;
