starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
None;None;DogPound;None;None;Player A1;Player A2;Player A3;Player A4;Player A5;0:0;False;00:00;Tuesday, October 6th, 9:15 PM CEST;Allied Esports Strafe Series #2;None;
Attack;W;Blitz;Bind;Decider;scourge;Showtime;Shawn12590;Eazy;chandlerjl;14:12;True;47:05;Tuesday, October 6th, 10:25 PM CEST;Allied Esports Strafe Series #2;url.net;
Defense;W;unKnown;Bind;Decider;scourge;Showtime;Shawn12590;Eazy;chandlerjl;13:10;False;45:51;Tuesday, October 6th, 11:25 PM CEST;Allied Esports Strafe Series #2;url.net;
Defense;W;Mystify;Bind;Mystify;Shawn12590;Eazy;scourge;Showtime;chandlerjl;13:5;False;35:34;Wednesday, October 7th, 1:00 AM CEST;Allied Esports Strafe Series #2;url.net;
Defense;W;Mystify;Haven;Mystify;Shawn12590;Eazy;scourge;Showtime;chandlerjl;13:7;False;35:57;Wednesday, October 7th, 1:00 AM CEST;Allied Esports Strafe Series #2;url.net;
Defense;L;Mamba Mode Gaming;Ascent;Mamba Mode Gaming;Shawn12590;chandlerjl;Eazy;Showtime;scourge;8:13;False;43:49;Wednesday, October 7th, 4:30 AM CEST;Allied Esports Strafe Series #2;https://www.twitch.tv/videos/762718028?t=3h54m11s;
Attack;W;Mamba Mode Gaming;Haven;Mamba Mode Gaming;Shawn12590;chandlerjl;Eazy;Showtime;scourge;13:6;False;33:34;Wednesday, October 7th, 4:30 AM CEST;Allied Esports Strafe Series #2;https://www.twitch.tv/videos/762718028?t=3h54m11s;
Defense;W;Mamba Mode Gaming;Bind;Mamba Mode Gaming;Shawn12590;chandlerjl;Eazy;Showtime;scourge;13:4;False;27:41;Wednesday, October 7th, 4:30 AM CEST;Allied Esports Strafe Series #2;https://www.twitch.tv/videos/762718028?t=3h54m11s;
Attack;W;Take Flyte;Bind;Decider;scourge;Eazy;Joseph;Turnup;Showtime;13:7;False;35:55;Sunday, October 18th, 9:00 PM CEST;Mount Phenom Zero: Valorant Weekend;https://www.twitch.tv/videos/774501897?t=0h30m39s;
Attack;W;Mystify;Haven;Decider;scourge;Showtime;Joseph;Turnup;Eazy;13:11;False;45:43;Sunday, October 18th, 10:05 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Defense;L;Destined;Ascent;Serenity;scourge;Eazy;Turnup;Showtime;Joseph;7:13;False;38:30;Sunday, October 18th, 11:20 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Attack;W;Destined;Haven;Serenity;scourge;Eazy;Turnup;Showtime;Joseph;13:8;False;40:38;Sunday, October 18th, 11:20 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Attack;L;Destined;Bind;Serenity;scourge;Eazy;Turnup;Showtime;Joseph;7:13;False;38:50;Sunday, October 18th, 11:20 PM CEST;Mount Phenom Zero: Valorant Weekend;url.net;
Defense;W;Dog Team Needs Club Org;Haven;Serenity;scourge;Eazy;Showtime;Turnup;Joseph;13:10;False;46:12;Saturday, October 24th, 8:00 PM CEST;Nerd Street Gamers October Monthly;url.net;
