starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;ahq e-Sports Club;Split;Decider;b3ta;notxd;aLerT;Chainyyy;kawsoy;13:6;False;-;Monday, August 17th, 11:00 AM CEST;Cyber Games Arena Pacific Open;https://www.twitch.tv/videos/712824344?t=2h6m12s;
Defense;W;Team LZ;Haven;Decider;aLerT;b3ta;kawsoy;notxd;Chainyyy;13:7;False;-;Tuesday, August 18th, 2:05 PM CEST;Cyber Games Arena Pacific Open;https://www.twitch.tv/videos/713881802?t=2h5m55s;
Attack;L;Morph Impact;Split;Decider;aLerT;Chainyyy;b3ta;kawsoy;notxd;14:16;True;-;Wednesday, August 19th, 8:50 AM CEST;Cyber Games Arena Pacific Open;https://www.twitch.tv/videos/714802059?t=1h13m59s;
Defense;W;Only One Word;Haven;Only One Word;aLerT;notxd;b3ta;kawsoy;Chainyyy;15:13;True;-;Friday, August 21st, 8:00 AM CEST;Cyber Games Arena Pacific Open;https://www.twitch.tv/videos/716817726?t=0h19m52s;
Defense;L;Only One Word;Ascent;Only One Word;aLerT;notxd;b3ta;kawsoy;Chainyyy;13:15;True;-;Friday, August 21st, 8:00 AM CEST;Cyber Games Arena Pacific Open;https://youtu.be/D790jn3FLE4?t=2389;
Attack;L;Only One Word;Bind;Only One Word;aLerT;notxd;b3ta;kawsoy;Chainyyy;11:13;False;-;Friday, August 21st, 8:00 AM CEST;Cyber Games Arena Pacific Open;https://youtu.be/D790jn3FLE4?t=7584;
Defense;L;Exodus;Split;Sharper Esport;aLerT;kawsoy;notxd;b3ta;Chainyyy;9:13;False;38:26;Saturday, October 24th, 8:15 AM CEST;ESL SEA Community Clash;https://www.twitch.tv/videos/780031696?t=2h38m59s;
Attack;L;Exodus;Haven;Sharper Esport;aLerT;kawsoy;notxd;b3ta;Chainyyy;9:13;False;42:06;Saturday, October 24th, 8:15 AM CEST;ESL SEA Community Clash;https://www.twitch.tv/videos/780031696?t=2h38m59s;
Defense;W;ROC Team;Haven;ROC Team;kawsoy;aLerT;b3ta;Chainyyy;notxd;13:5;False;33:52;Saturday, October 24th, 10:30 AM CEST;ESL SEA Community Clash;https://www.twitch.tv/videos/780031738?t=04h57m53s;
Attack;W;ROC Team;Ascent;Sharper Esport;kawsoy;aLerT;b3ta;Chainyyy;notxd;13:11;False;47:36;Saturday, October 24th, 10:30 AM CEST;ESL SEA Community Clash;https://www.twitch.tv/videos/780031738?t=04h57m53s;
Defense;L;MiTH.Streamer;Haven;Sharper Esport;Chainyyy;b3ta;aLerT;kawsoy;notxd;11:13;False;44:23;Sunday, October 25th, 9:30 AM CET;ESL SEA Community Clash;https://www.twitch.tv/videos/781123250?t=5h5m28s;
