starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Tales of Eastern;Icebox;Decider;shuaishuai;AC;Eren;x8;XiaoShi77;13:11;False;45:31;Thursday, June 10th, 7:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;L;EDward Gaming;Icebox;Decider;AC;x8;XiaoShi77;Eren;shuaishuai;10:13;False;45:35;Thursday, June 10th, 9:30 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;W;MAX Esports;Split;Decider;shuaishuai;XiaoShi77;x8;AC;Eren;13:5;False;36:22;Thursday, June 10th, 10:30 AM CEST;Huya FMWH PangHu Cup: Summer;https://www.twitch.tv/videos/1051577850?t=3h51m22s;
Attack;L;CBT Gaming;Haven;Decider;shuaishuai;AC;Eren;x8;XiaoShi77;8:13;False;41:15;Thursday, June 10th, 11:35 AM CEST;Huya FMWH PangHu Cup: Summer;https://www.twitch.tv/videos/1051577850?t=5h2m7s;
Defense;L;Attacking Soul Esports;Haven;Shenzhen NTER;x8;shuaishuai;AC;Eren;XiaoShi77;9:13;False;44:49;Friday, June 11th, 9:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;W;Attacking Soul Esports;Icebox;Shenzhen NTER;x8;shuaishuai;AC;Eren;XiaoShi77;13:8;False;33:46;Friday, June 11th, 9:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;W;Attacking Soul Esports;Split;Shenzhen NTER;x8;shuaishuai;AC;Eren;XiaoShi77;13:2;False;30:00;Friday, June 11th, 9:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;L;KaiXin Esports;Icebox;Shenzhen NTER;shuaishuai;AC;Eren;XiaoShi77;x8;7:13;False;31:26;Saturday, June 12th, 7:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Defense;W;KaiXin Esports;Haven;Shenzhen NTER;shuaishuai;AC;Eren;XiaoShi77;x8;13:6;False;32:23;Saturday, June 12th, 7:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
Attack;L;KaiXin Esports;Bind;Shenzhen NTER;shuaishuai;AC;Eren;XiaoShi77;x8;7:13;False;38:20;Saturday, June 12th, 7:00 AM CEST;Huya FMWH PangHu Cup: Summer;url.net;
