starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Nebula;Bind;Straight Outta The Zoo;punda;GRIEFANG;Dutti;SHNIKKOV;NiceHacks;13:11;False;1:05:05;Thursday, February 25th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/927649289?t=00h11m46s;
Defense;L;Nebula;Haven;Straight Outta The Zoo;punda;GRIEFANG;Dutti;SHNIKKOV;NiceHacks;12:14;True;59:52;Thursday, February 25th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/927649289?t=00h11m46s;
Attack;W;Nebula;Icebox;Straight Outta The Zoo;punda;GRIEFANG;Dutti;SHNIKKOV;NiceHacks;13:11;False;46:35;Thursday, February 25th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/927649289?t=00h11m46s;
Defense;L;AGG;Bind;AGG;NiceHacks;GRIEFANG;punda;M1kE;SHNIKKOV;7:13;False;33:36;Friday, February 26th, 9:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;W;AGG;Ascent;AGG;NiceHacks;GRIEFANG;punda;M1kE;SHNIKKOV;14:12;True;46:20;Friday, February 26th, 9:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;W;AGG;Icebox;AGG;NiceHacks;GRIEFANG;punda;M1kE;SHNIKKOV;13:5;False;31:55;Friday, February 26th, 9:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;W;ex-EXO Clan;Bind;Straight Outta The Zoo;punda;NiceHacks;M1kE;GRIEFANG;SHNIKKOV;13:9;False;41:51;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;L;ex-EXO Clan;Icebox;Straight Outta The Zoo;punda;NiceHacks;M1kE;GRIEFANG;SHNIKKOV;1:13;False;25:59;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;L;ex-EXO Clan;Ascent;Straight Outta The Zoo;punda;NiceHacks;M1kE;GRIEFANG;SHNIKKOV;0:13;False;21:55;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;L;Kanga Esports;Bind;Straight Outta The Zoo;Dutti;M1kE;punda;NiceHacks;Yifang;10:13;False;45:06;Friday, March 5th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/937632687?t=0h20m57s;
Defense;W;Kanga Esports;Ascent;Kanga Esports;Dutti;M1kE;punda;NiceHacks;Yifang;13:2;False;27:55;Friday, March 5th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/937632687?t=0h20m57s;
Attack;L;Kanga Esports;Split;Straight Outta The Zoo;Dutti;M1kE;punda;NiceHacks;Yifang;10:13;False;44:44;Friday, March 5th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/937632687?t=0h20m57s;
Attack;W;OverPalaStrike;Haven;Straight Outta The Zoo;Yifang;punda;Dutti;M1kE;Profiled;13:9;False;40:04;Saturday, March 13th, 3:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/947262324?t=0h17m42s;
Defense;L;OverPalaStrike;Bind;OverPalaStrike;Yifang;punda;Dutti;M1kE;Profiled;6:13;False;34:28;Saturday, March 13th, 3:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/947262324?t=0h17m42s;
Attack;W;OverPalaStrike;Icebox;Straight Outta The Zoo;Yifang;punda;Dutti;M1kE;NiceHacks;13:3;False;29:19;Saturday, March 13th, 3:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/947262324?t=0h17m42s;
Defense;W;Paradox Esports;Split;Paradox Esports;Yifang;NiceHacks;punda;M1kE;Dutti;13:3;False;23:13;Saturday, March 13th, 7:50 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/947262324?t=4h54m15s;
Attack;W;Paradox Esports;Bind;Straight Outta The Zoo;Yifang;NiceHacks;punda;M1kE;Dutti;14:12;True;49:01;Saturday, March 13th, 7:50 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/947262324?t=4h54m15s;
Attack;W;Wildcard Gaming;Haven;Straight Outta The Zoo;NiceHacks;Dutti;punda;Yifang;M1kE;13:7;False;37:29;Friday, March 19th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/954899731?t=0h24m20s;
Defense;L;Wildcard Gaming;Ascent;Wildcard Gaming;NiceHacks;Dutti;punda;Yifang;M1kE;5:13;False;37:07;Friday, March 19th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/954899731?t=0h24m20s;
Attack;W;Wildcard Gaming;Icebox;Straight Outta The Zoo;NiceHacks;Dutti;punda;Yifang;M1kE;13:7;False;39:23;Friday, March 19th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/954899731?t=0h24m20s;
