starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Sedated;Bind;Teal Seam;seven;TYRELL;bones;ART1C;Osias;13:6;False;34:46;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;url.net;
Defense;W;Sedated;Icebox;Teal Seam;seven;TYRELL;bones;ART1C;Osias;13:7;False;35:37;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;url.net;
Attack;W;Phoenix1;Bind;Teal Seam;bones;seven;Osias;TYRELL;ART1C;13:11;False;47:14;Saturday, January 2nd, 11:30 PM CET;Serenity Invitational;url.net;
Defense;W;Phoenix1;Ascent;Teal Seam;bones;seven;Osias;TYRELL;ART1C;13:6;False;37:11;Saturday, January 2nd, 11:30 PM CET;Serenity Invitational;url.net;
Attack;W;Serenity;Bind;Teal Seam;seven;bones;TYRELL;ART1C;Osias;13:8;False;40:35;Sunday, January 3rd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/860168443?t=0h12m56s;
Defense;L;Serenity;Icebox;Teal Seam;seven;bones;TYRELL;ART1C;Osias;6:13;False;38:34;Sunday, January 3rd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/860168443?t=0h12m56s;
Defense;W;Serenity;Ascent;Teal Seam;seven;bones;TYRELL;ART1C;Osias;13:9;False;48:38;Sunday, January 3rd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/860168443?t=0h12m56s;
Defense;W;Take Flyte;Haven;Teal Seam;Osias;seven;ART1C;bones;TYRELL;13:6;False;35:53;Monday, January 4th, 12:00 AM CET;Serenity Invitational;https://www.twitch.tv/videos/860388840;
Attack;L;Take Flyte;Ascent;Teal Seam;Osias;seven;ART1C;bones;TYRELL;9:13;False;38:48;Monday, January 4th, 12:00 AM CET;Serenity Invitational;https://www.twitch.tv/videos/860388840;
Defense;W;Take Flyte;Split;Teal Seam;Osias;seven;ART1C;bones;TYRELL;13:1;False;21:58;Monday, January 4th, 12:00 AM CET;Serenity Invitational;https://www.twitch.tv/videos/860388840;
Attack;L;Take Flyte;Bind;Teal Seam;Osias;seven;ART1C;bones;TYRELL;3:13;False;27:03;Monday, January 4th, 12:00 AM CET;Serenity Invitational;https://www.twitch.tv/videos/860388840;
Attack;L;Take Flyte;Ascent;Decider;Osias;seven;ART1C;bones;TYRELL;8:13;False;44:35;Monday, January 4th, 12:00 AM CET;Serenity Invitational;https://www.twitch.tv/videos/860388840;
Attack;W;seeker;Ascent;Teal Seam;seven;LarryBanks;neT;Cade3k;ban;13:11;False;39:53;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
Attack;W;seeker;Haven;seeker;seven;LarryBanks;neT;Cade3k;ban;13:7;False;34:54;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
