starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Arctic Gaming Mexico;Bind;Decider;xander;Danielesflo;platinum;Ondeflor;mixtall;13:2;False;29:35;Friday, September 4th, 2:00 AM CEST;Valorant Versus;https://www.twitch.tv/videos/730595528?t=1h23m36s;
Attack;W;Atheris Esports;Haven;Decider;Ondeflor;Danielesflo;xander;mixtall;platinum;13:6;False;34:34;Friday, September 4th, 6:00 AM CEST;Valorant Versus;https://www.twitch.tv/videos/730595528?t=4h4m27s;
Attack;L;INFINITY;Haven;INFINITY;Ondeflor;mixtall;xander;Danielesflo;Exprz;10:13;False;51:03;Wednesday, September 16th, 2:00 AM CEST;GGTech Invitational 2 LA-N;url.net;
Defense;L;INFINITY;Ascent;INFINITY;Ondeflor;mixtall;xander;Danielesflo;Exprz;8:13;False;54:56;Wednesday, September 16th, 2:00 AM CEST;GGTech Invitational 2 LA-N;url.net;
Attack;L;Arctic Gaming Mexico;Bind;Arctic Gaming Mexico;SkuLLL;JDRelax;lKuro;St3ven;Cevedol;2:13;False;25:52;Wednesday, December 9th, 4:30 AM CET;No Tilt Cup: Latin America North;url.net;
Defense;L;Arctic Gaming Mexico;Ascent;Arctic Gaming Mexico;SkuLLL;JDRelax;lKuro;St3ven;Cevedol;5:13;False;34:56;Wednesday, December 9th, 4:30 AM CET;No Tilt Cup: Latin America North;url.net;
Defense;L;MeT;Ascent;TopHard Esports;JDRelax;SkuLLL;Cevedol;lKuro;St3ven;7:13;False;44:52;Wednesday, December 9th, 11:30 PM CET;No Tilt Cup: Latin America North;url.net;
Attack;W;MeT;Split;Decider;JDRelax;SkuLLL;Cevedol;lKuro;St3ven;13:7;False;37:32;Wednesday, December 9th, 11:30 PM CET;No Tilt Cup: Latin America North;url.net;
Attack;L;INFINITY;Ascent;INFINITY;JDRelax;Cevedol;lKuro;St3ven;SkuLLL;2:13;False;26:39;Thursday, December 10th, 10:00 PM CET;No Tilt Cup: Latin America North;url.net;
Defense;L;INFINITY;Bind;INFINITY;JDRelax;Cevedol;lKuro;St3ven;SkuLLL;2:13;False;27:34;Thursday, December 10th, 10:00 PM CET;No Tilt Cup: Latin America North;url.net;
Defense;L;LDM Esports;Haven;TopHard Esports;JDRelax;SkuLLL;lKuro;Cevedol;St3ven;0:13;False;32:19;Wednesday, December 23rd, 12:30 AM CET;Valorant Defenders LAN;url.net;
Attack;L;LDM Esports;Split;TopHard Esports;JDRelax;SkuLLL;lKuro;St3ven;militolights;3:13;False;29:21;Wednesday, December 23rd, 12:30 AM CET;Valorant Defenders LAN;url.net;
