starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;Teal Seam;Ascent;Teal Seam;Bxdied;cky;Soop;MISSING;Shiv;10:13;False;35:42;Saturday, May 15th, 11:30 PM CEST;Knights Monthly Gauntlet: May;url.net;
Defense;L;Teal Seam;Haven;UYU;Bxdied;cky;Soop;MISSING;Shiv;8:13;False;30:09;Saturday, May 15th, 11:30 PM CEST;Knights Monthly Gauntlet: May;url.net;
Defense;L;Built By Gamers;Ascent;Decider;DBK;cky;Missing;Velocity;Soop;9:13;False;37:31;Monday, July 26th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - July Qualifier;url.net;
Defense;W;Immortals;Haven;UYU;Bawn;cky;ReflexZach;Soop;Velocity;14:12;True;51:02;Monday, August 9th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;L;Immortals;Ascent;UYU;Bawn;cky;ReflexZach;Soop;Velocity;6:13;False;30:14;Monday, August 9th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Defense;L;Immortals;Icebox;UYU;Bawn;cky;ReflexZach;Soop;Velocity;3:13;False;24:08;Monday, August 9th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Defense;W;Serenity Black;Ascent;UYU;ReflexZach;maithority;jakee;Matt;Soop;13:11;False;43:32;Saturday, September 4th, 11:00 PM CEST;PlayerzZone $2K Invitational Presented By GLG;url.net;
Attack;L;Serenity Black;Icebox;UYU;ReflexZach;maithority;jakee;Matt;Soop;3:13;False;31:13;Saturday, September 4th, 11:00 PM CEST;PlayerzZone $2K Invitational Presented By GLG;url.net;
Defense;L;Serenity Black;Bind;UYU;ReflexZach;maithority;jakee;Matt;Soop;10:13;False;49:06;Saturday, September 4th, 11:00 PM CEST;PlayerzZone $2K Invitational Presented By GLG;url.net;
Defense;L;Built By Gamers;Ascent;Decider;Unholykid;Soop;Bawn;rev0h;ReflexZach;0:13;False;19:52;Monday, September 27th, 10:00 PM CEST;Knights Monthly Gauntlet: September;url.net;
