starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Marten Gaming;Bind;Decider;FANSTE;simke;Western;al1en;foren;16:14;True;1:02:05;Tuesday, September 29th, 8:15 PM CEST;Show Your Valor;https://www.twitch.tv/videos/755558925?t=2h37m4s;
Defense;L;MUTED;Ascent;Decider;simke;foren;al1en;Western;FANSTE;9:13;False;41:27;Sunday, October 4th, 8:15 PM CEST;Show Your Valor;url.net;
Attack;W;lvlUP;Haven;Decider;foren;simke;al1en;FANSTE;Western;13:7;False;39:22;Tuesday, October 6th, 6:00 PM CEST;Show Your Valor;https://www.twitch.tv/videos/762339284?t=00h38m07s;
Attack;L;Good Game;Ascent;Decider;al1en;FANSTE;foren;Western;simke;11:13;False;49:01;Sunday, October 11th, 8:30 PM CEST;Show Your Valor;https://www.twitch.tv/videos/767350509?t=2h46m56s;
Defense;L;CR4ZY;Haven;Decider;foren;alwaysplanahea;al1en;FANSTE;Western;5:13;False;34:44;Tuesday, October 13th, 7:00 PM CEST;Show Your Valor;https://www.twitch.tv/videos/769216543?t=1h28m17s;
Attack;L;Team Toxic;Haven;Decider;simke;Alwaysplanahea;al1en;Western;foren;6:13;False;34:51;Tuesday, October 20th, 8:30 PM CEST;Show Your Valor;https://www.twitch.tv/videos/776241244?t=2h57m9s;
Attack;L;CR4ZY;Ascent;euphoria;foren;al1en;simke;Western;Alwaysplanahea;3:13;False;26:15;Tuesday, October 27th, 6:00 PM CET;Show Your Valor;url.net;
Defense;L;CR4ZY;Bind;euphoria;foren;al1en;simke;Western;Alwaysplanahea;11:13;False;47:38;Tuesday, October 27th, 6:00 PM CET;Show Your Valor;url.net;
Attack;W;MUTED;Ascent;MUTED;simke;al1en;Western;foren;Alwaysplanahea;14:12;True;50:31;Sunday, November 1st, 5:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/788782980?t=0h50m10s;
Defense;W;MUTED;Bind;MUTED;simke;al1en;Western;foren;Alwaysplanahea;13:6;False;35:46;Sunday, November 1st, 5:00 PM CET;Show Your Valor;https://www.twitch.tv/videos/788782980?t=0h50m10s;
Attack;L;ZFGaming;Bind;Euphoria;SacrificE;INTER;Hype;Jinppak;ELSE;2:13;False;29:12;Tuesday, February 9th, 9:00 AM CET;Champions Tour Korea Stage 1: Challengers 2;url.net;
Attack;L;ZFGaming;Icebox;Euphoria;SacrificE;INTER;Hype;Jinppak;ELSE;4:13;False;29:09;Tuesday, February 9th, 9:00 AM CET;Champions Tour Korea Stage 1: Challengers 2;url.net;
