starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Friendlings;Ascent;Friendlings;dizzyLife;pl1xx;iyen;Bob;Crunchy;13:0;False;23:53;Thursday, February 25th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/927647461?t=00h13m17s;
Attack;W;Friendlings;Bind;Friendlings;dizzyLife;pl1xx;iyen;Bob;Crunchy;13:3;False;27:01;Thursday, February 25th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/927647461?t=00h13m17s;
Defense;W;Grinch Gang;Haven;Grinch Gang;Bob;pl1xx;Crunchy;iyen;dizzyLife;13:4;False;29:43;Friday, February 26th, 9:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;W;Grinch Gang;Bind;Grinch Gang;Bob;pl1xx;Crunchy;iyen;dizzyLife;14:12;True;48:36;Friday, February 26th, 9:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;L;Straight Outta The Zoo;Bind;Straight Outta The Zoo;dizzyLife;Bob;pl1xx;iyen;Crunchy;9:13;False;41:51;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;W;Straight Outta The Zoo;Icebox;Straight Outta The Zoo;dizzyLife;Bob;pl1xx;iyen;Crunchy;13:1;False;25:59;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;W;Straight Outta The Zoo;Ascent;Straight Outta The Zoo;dizzyLife;Bob;pl1xx;iyen;Crunchy;13:0;False;21:55;Saturday, February 27th, 4:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;W;Funcrew;Haven;Funcrew;dizzyLife;iyen;Crunchy;pl1xx;Bob;13:1;False;29:42;Sunday, February 28th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/931416884?t=0h11m32s;
Defense;W;Funcrew;Icebox;Funcrew;dizzyLife;iyen;Crunchy;pl1xx;Bob;13:8;False;42:05;Sunday, February 28th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/931416884?t=0h11m32s;
Attack;W;Paradox Esports;Haven;ex-EXO Clan;Crunchy;pl1xx;Bob;dizzyLife;iyen;13:6;False;38:07;Thursday, March 4th, 12:15 PM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/936401414?t=3h27m23s;
Defense;W;Paradox Esports;Ascent;Paradox Esports;Crunchy;pl1xx;Bob;dizzyLife;iyen;13:4;False;29:13;Thursday, March 4th, 12:15 PM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/936401414?t=3h27m23s;
Defense;W;Mindfreak;Icebox;Mindfreak;dizzyLife;pl1xx;Crunchy;iyen;Bob;13:8;False;42:16;Saturday, March 6th, 5:15 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/938659471?t=2h34m0s;
Attack;L;Mindfreak;Ascent;ex-EXO Clan;dizzyLife;pl1xx;Crunchy;iyen;Bob;9:13;False;40:58;Saturday, March 6th, 5:15 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/938659471?t=2h34m0s;
Defense;W;Mindfreak;Bind;ex-EXO Clan;dizzyLife;pl1xx;Crunchy;iyen;Bob;14:12;True;51:39;Saturday, March 6th, 5:15 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/938659471?t=2h34m0s;
Attack;L;Funcrew;Icebox;Funcrew;pl1xx;dizzyLife;iyen;Crunchy;Bob;8:13;False;40:54;Sunday, March 7th, 6:05 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/940010824?t=3h45m0s;
Defense;W;Funcrew;Bind;Funcrew;pl1xx;dizzyLife;iyen;Crunchy;Bob;13:8;False;36:42;Sunday, March 7th, 6:05 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/940010824?t=3h45m0s;
Attack;W;Funcrew;Split;Funcrew;pl1xx;dizzyLife;iyen;Crunchy;Bob;13:5;False;30:33;Sunday, March 7th, 6:05 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/940010824?t=3h45m0s;
