starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Equinox Esports;Haven;ex-Serenity;Eazy;scourge;Showtime;Joseph;Turnup;8:13;False;38:05;Saturday, November 28th, 8:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=0h13m4s;
Defense;L;Equinox Esports;Icebox;ex-Serenity;Eazy;scourge;Showtime;Joseph;Turnup;9:13;False;38:35;Saturday, November 28th, 8:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=0h13m4s;
Defense;L;DREAMLAND;Bind;DREAMLAND;Showtime;scourge;Turnup;Eazy;Joseph;8:13;False;32:20;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Defense;W;DREAMLAND;Haven;DREAMLAND;Showtime;scourge;Turnup;Eazy;Joseph;13:5;False;32:43;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Defense;W;DREAMLAND;Ascent;DREAMLAND;Showtime;scourge;Turnup;Eazy;Joseph;13:7;False;34:23;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Attack;W;Roosters;Haven;ex-Serenity;Showtime;Joseph;Eazy;scourge;Turnup;13:5;False;31:21;Sunday, November 29th, 1:30 AM CET;Nerd Street Gamers November Monthly;url.net;
Defense;W;Roosters;Bind;ex-Serenity;Showtime;Joseph;Eazy;scourge;Turnup;13:3;False;29:47;Sunday, November 29th, 1:30 AM CET;Nerd Street Gamers November Monthly;url.net;
Attack;W;Built By Gamers;Split;Built By Gamers;scourge;Showtime;Eazy;Turnup;Joseph;13:10;False;39:54;Sunday, November 29th, 7:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Defense;W;Built By Gamers;Ascent;Built By Gamers;scourge;Showtime;Eazy;Turnup;Joseph;13:7;False;35:39;Sunday, November 29th, 7:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Attack;L;Mamba Mode Gaming;Haven;ex-Serenity;Showtime;Eazy;Joseph;scourge;Turnup;11:13;False;47:18;Sunday, November 29th, 10:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Defense;L;Mamba Mode Gaming;Bind;ex-Serenity;Showtime;Eazy;Joseph;scourge;Turnup;11:13;False;42:05;Sunday, November 29th, 10:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Defense;W;Sedated;Bind;ex-Serenity;scourge;Showtime;Joseph;Eazy;Turnup;13:5;False;34:24;Sunday, November 29th, 11:00 PM CET;Nerd Street Gamers November Monthly;url.net;
Attack;W;Sedated;Haven;ex-Serenity;scourge;Showtime;Joseph;Eazy;Turnup;13:7;False;36:13;Sunday, November 29th, 11:00 PM CET;Nerd Street Gamers November Monthly;url.net;
