starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;The Goose House Lunar;Haven;The Goose House Lunar;hindberjum;Lami;Noia;kyo;Audaki;17:15;True;1:03:23;Tuesday, July 20th, 6:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1092519746?t=00h39m36s;
Defense;L;The Goose House Lunar;Breeze;The Goose House Lunar;hindberjum;Lami;Noia;kyo;Audaki;9:13;False;40:34;Tuesday, July 20th, 6:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1092519746?t=00h39m36s;
Attack;W;The Goose House Lunar;Bind;The Goose House Lunar;hindberjum;Lami;Noia;kyo;Audaki;17:15;True;1:06:54;Tuesday, July 20th, 6:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1092519746?t=00h39m36s;
Defense;L;Team Heretics;Ascent;fReya;kyo;Noia;Audaki;hindberjum;Lami;2:13;False;23:11;Tuesday, July 20th, 9:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1092519746?t=04h33m16s;
Defense;L;Team Heretics;Haven;fReya;kyo;Noia;Audaki;hindberjum;Lami;3:13;False;21:16;Tuesday, July 20th, 9:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1092519746?t=04h33m16s;
Defense;W;ABB ASKI E-Spor WHITE;Breeze;fReya;kyo;hindberjum;Lami;angelka;bulletgirl;13:4;False;29:25;Monday, September 27th, 7:00 PM CEST;Champions Tour Game Changers Series I: EMEA;url.net;
Defense;W;ABB ASKI E-Spor WHITE;Bind;fReya;kyo;hindberjum;Lami;angelka;bulletgirl;13:3;False;29:03;Monday, September 27th, 7:00 PM CEST;Champions Tour Game Changers Series I: EMEA;url.net;
Defense;L;Valstars Gaming Female;Breeze;fReya;bulletgirl;kyo;angelka;Lami;hindberjum;6:13;False;36:53;Tuesday, September 28th, 7:00 PM CEST;Champions Tour Game Changers Series I: EMEA;url.net;
Attack;W;Valstars Gaming Female;Ascent;fReya;bulletgirl;kyo;angelka;Lami;hindberjum;13:11;False;46:22;Tuesday, September 28th, 7:00 PM CEST;Champions Tour Game Changers Series I: EMEA;url.net;
Defense;L;Valstars Gaming Female;Haven;fReya;bulletgirl;kyo;angelka;Lami;hindberjum;7:13;False;38:58;Tuesday, September 28th, 7:00 PM CEST;Champions Tour Game Changers Series I: EMEA;url.net;
